cuvette empty,,air,,Baseline 100%T,,air#,,empty cuvette against air,,70uL naoh x5 in cuvette against air1,,200uL naoh x5 in cuvette against air2,,300uL naoh x5 in cuvette against air3,,600uL naoh x5 in cuvette against air4,,3ul x24 urd in 600uL naoh x5 in cuvette against air5,,500uL naoh x5 in cuvette against air,,3ul x25 ura in 500uL naoh x5 in cuvette against air1,,3ul x25 ura in 500uL naoh x5 in cuvette against air2,,3ul x24 urd in 600uL naoh x5 in cuvette against air5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
400,0.0005713683786,400,-0.1389269829,400,-0.01149772387,400,-0.0003399567504,400,0.1382182986,400,0.1359595507,400,0.3446183503,400,0.06831350178,400,0.06802821159,400,0.06755269319,400,0.0657626465,400,0.06565035135,349,0.1114307866,400,0.06755269319,
399,-0.0001447819668,399,-0.1385674328,399,-0.01304786839,399,-0.0004699383862,399,0.1395206898,399,0.1363666505,399,0.3462561965,399,0.06832759082,399,0.06895472854,399,0.06909822673,399,0.06574083865,399,0.06555099785,348,0.09002446383,399,0.06909822673,
398,-0.0007617251249,398,-0.1391348392,398,-0.01353221014,398,0.0007345138583,398,0.1391864419,398,0.1370654553,398,0.346978128,398,0.07115476578,398,0.06934370846,398,0.0707166642,398,0.06683107466,398,0.06678976864,347,0.09078021348,398,0.0707166642,
397,0.0004331587697,397,-0.1393984258,397,-0.01270369068,397,-0.001605943544,397,0.1393804252,397,0.1374776661,397,0.3460125625,397,0.07052969187,397,0.06913787127,397,0.06921363622,397,0.06676653028,397,0.0655965507,346,0.09016149491,397,0.06921363622,
396,8.506962331E-5,396,-0.1402396858,396,-0.01284027845,396,-0.0002114886302,396,0.1401560158,396,0.1380397975,396,0.3474740386,396,0.06935947388,396,0.06875576824,396,0.06907322258,396,0.0666494742,396,0.06641166657,345,0.09002013505,396,0.06907322258,
395,0.0003417515545,395,-0.139605701,395,-0.01174606849,395,-0.00191325671,395,0.1389445513,395,0.1377348453,395,0.3459828496,395,0.06952343136,395,0.06830141693,395,0.06823989004,395,0.06553546339,395,0.06511276215,344,0.09114918113,395,0.06823989004,
394,0.0002230907994,394,-0.1400033981,394,-0.01325184386,394,9.490832599E-5,394,0.1412121207,394,0.1390336305,394,0.3491830528,394,0.07095699757,394,0.06957352906,394,0.07074058056,394,0.06790101528,394,0.06694536656,343,0.09025555104,394,0.07074058056,
393,0.000264557515,393,-0.1404503435,393,-0.01352036651,393,-0.0005755812163,393,0.1408967674,393,0.1389432251,393,0.349026233,393,0.07131602615,393,0.07067922503,393,0.07065355033,393,0.06787123531,393,0.06804141402,342,0.09255940467,393,0.07065355033,
392,0.000109848057,392,-0.139652878,392,-0.0136390375,392,-0.0003955644788,392,0.141196847,392,0.139057532,392,0.3491186202,392,0.073052302,392,0.07196176052,392,0.07064733654,392,0.0674848929,392,0.06752051413,341,0.09332199395,392,0.07064733654,
391,-0.0002651984105,391,-0.1401783228,391,-0.014543036,391,0.0006627980038,391,0.1411620677,391,0.1413528472,391,0.3511867523,391,0.07219284773,391,0.07202918828,391,0.07233898342,391,0.06898142397,391,0.06865370274,340,0.09413932264,391,0.07233898342,
390,0.001173597411,390,-0.1406739503,390,-0.01313567813,390,-0.0005918157403,390,0.1399609596,390,0.1393343359,390,0.3508411646,390,0.07140309364,390,0.07058127224,390,0.0706462115,390,0.06771303713,390,0.06797078252,339,0.09260422736,390,0.0706462115,
389,0.001889378997,389,-0.1413737684,389,-0.01469666418,389,-0.0002627666108,389,0.1430069059,389,0.1416001767,389,0.3512032628,389,0.07294138521,389,0.07112442702,389,0.07067167014,389,0.06896273792,389,0.0699031353,338,0.09364562482,389,0.07067167014,
388,0.0006888280041,388,-0.1400787681,388,-0.01456596609,388,0.0001575187925,388,0.1404608637,388,0.141773358,388,0.3517564833,388,0.07306614518,388,0.07107597589,388,0.07212126255,388,0.06960902363,388,0.06927833706,337,0.09434321523,388,0.07212126255,
387,0.001717976527,387,-0.1406098008,387,-0.01394321956,387,-0.0008129898924,387,0.1397840381,387,0.1405129433,387,0.3525303006,387,0.07271099836,387,0.07110089064,387,0.07116251439,387,0.06855978817,387,0.06788249314,336,0.09552856535,387,0.07116251439,
386,0.0008757764008,386,-0.1419957727,386,-0.01388977189,386,-0.0008610450896,386,0.1417307854,386,0.1405369788,386,0.3499211669,386,0.07351367921,386,0.07281674445,386,0.07205534726,386,0.07021783292,386,0.06826657802,335,0.09365404397,386,0.07205534726,
385,0.002805373166,385,-0.1430956423,385,-0.01574098691,385,0.0002644539054,385,0.1440643072,385,0.1425467432,385,0.353882581,385,0.07417798787,385,0.07255448401,385,0.07317391038,385,0.07050316781,385,0.0704549402,334,0.09545248747,385,0.07317391038,
384,0.002885287162,384,-0.1419305503,384,-0.01516097318,384,0.00100849662,384,0.1432991028,384,0.1398706138,384,0.353517592,384,0.07327367365,384,0.07266705483,384,0.07305628061,384,0.06911161542,384,0.07071386278,333,0.09652570635,384,0.07305628061,
383,0.002934097545,383,-0.1429289281,383,-0.01476632711,383,-0.001307084458,383,0.1424021274,383,0.1402078271,383,0.3527975976,383,0.07353293896,383,0.07271470129,383,0.07322915643,383,0.06752481312,383,0.06914597005,332,0.09749406576,383,0.07322915643,
