500ul x5 + 0ul ,,
Wavelength (nm),Abs,
349,0.1200235784,
348,0.1039107889,
347,0.1039690226,
346,0.105273895,
345,0.105266273,
344,0.1058967039,
343,0.1069451123,
342,0.1073702723,
341,0.1070369482,
340,0.1087190956,
339,0.1092270389,
338,0.1083527058,
337,0.1100919694,
336,0.1101918444,
335,0.111065343,
334,0.112379469,
333,0.112334311,
332,0.1137711853,
331,0.1144574434,
330,0.116105698,
329,0.1161841676,
328,0.1170015261,
327,0.1176899895,
326,0.1187449098,
325,0.1202953011,
324,0.1211268753,
323,0.1209734231,
322,0.1236691102,
321,0.1240193471,
320,0.125353381,
319,0.1267200261,
318,0.1268924028,
317,0.1297904998,
316,0.1303558052,
315,0.1322269887,
314,0.1329374313,
313,0.1356912553,
312,0.1364464462,
311,0.1372375488,
310,0.138374269,
309,0.1409717798,
308,0.1364361793,
307,0.1379050016,
306,0.1393257678,
305,0.142814666,
304,0.1442367136,
303,0.1461293995,
302,0.1486212611,
301,0.1503489017,
300,0.1530959308,
299,0.155872032,
298,0.1593876481,
297,0.16105555,
296,0.163943544,
295,0.1662513167,
294,0.1694109589,
293,0.1726983488,
292,0.1766359359,
291,0.1806470603,
290,0.1845707148,
289,0.1863409132,
288,0.1908555478,
287,0.1944817603,
286,0.1970350593,
285,0.2010763735,
284,0.2036853582,
283,0.2078295201,
282,0.2116986215,
281,0.2155000567,
280,0.2186134607,
279,0.2228404284,
278,0.2256248146,
277,0.230213359,
276,0.2333939373,
275,0.2380685657,
274,0.2419390678,
273,0.2457724363,
272,0.2504581809,
271,0.2550936341,
270,0.2595382333,
269,0.2646682858,
268,0.2696176171,
267,0.2755173147,
266,0.2817667425,
265,0.2891609967,
264,0.2957555354,
263,0.302860111,
262,0.3109295368,
261,0.3194189966,
260,0.3265381753,
259,0.3345502615,
258,0.3416988254,
257,0.3496145308,
256,0.3571565747,
255,0.3657411039,
254,0.3740962744,
253,0.3825539052,
252,0.3904933929,
251,0.3989426196,
250,0.4059147537,
249,0.4126613438,
248,0.4183205366,
247,0.4234079719,
246,0.4284716249,
245,0.4329630136,
244,0.4377969205,
243,0.4410489202,
242,0.4451700151,
241,0.4484468699,
240,0.4511740208,
239,0.4529215395,
238,0.4547126293,
237,0.4565298557,
236,0.4595896304,
235,0.4622271955,
234,0.464974463,
233,0.4693992734,
232,0.4751447737,
231,0.4823367298,
230,0.4916807115,
229,0.5049075484,
228,0.5226177573,
227,0.5470221639,
226,0.579475522,
225,0.6211588383,
224,0.677811563,
223,0.751324892,
222,0.8457994461,
221,0.9664875865,
220,1.12196219,

500ul x5 + 0ul ,
500ul x5 + 0ul
Collection Time: 14/05/2024 10:51:20 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

