blank,,
Wavelength (nm),Abs,
349,0.1214772537,
348,0.1056736484,
347,0.1054596156,
346,0.1073285043,
345,0.1073684767,
344,0.1059662104,
343,0.1077025533,
342,0.1085483283,
341,0.1083191857,
340,0.1089019701,
339,0.1100905314,
338,0.1101604849,
337,0.1111516654,
336,0.1124222949,
335,0.1131090075,
334,0.1131526083,
333,0.1140459627,
332,0.1151674315,
331,0.1161439791,
330,0.116031535,
329,0.1177415922,
328,0.1190978289,
327,0.1200458258,
326,0.1205881834,
325,0.1212361306,
324,0.121745646,
323,0.1235386357,
322,0.1239554584,
321,0.1253225654,
320,0.1264551282,
319,0.1282191873,
318,0.1289146394,
317,0.1310333312,
316,0.1319890767,
315,0.1343562603,
314,0.1350294352,
313,0.1377075464,
312,0.138682887,
311,0.1387542784,
310,0.1405916959,
309,0.1433204412,
308,0.13861911,
307,0.1399942338,
306,0.141881451,
305,0.1444026828,
304,0.1459776908,
303,0.1489702463,
302,0.1506000161,
301,0.1532426327,
300,0.155842796,
299,0.1590655744,
298,0.1608225107,
297,0.1638721973,
296,0.1664125174,
295,0.1694995612,
294,0.1726139337,
293,0.1748658717,
292,0.1792682111,
291,0.1833121628,
290,0.1868600398,
289,0.1895070374,
288,0.1938047856,
287,0.1985515356,
286,0.2012746185,
285,0.2056137472,
284,0.2080643475,
283,0.2118778676,
282,0.2149134278,
281,0.2189588845,
280,0.2221148312,
279,0.2263120264,
278,0.2296795696,
277,0.2332299948,
276,0.237004444,
275,0.2411356866,
274,0.2442764491,
273,0.2490083426,
272,0.253896445,
271,0.258331269,
270,0.2628806233,
269,0.2680314481,
268,0.2736299634,
267,0.2795869708,
266,0.2858757675,
265,0.293184787,
264,0.3001761436,
263,0.3076012433,
262,0.3154926002,
261,0.3237261176,
260,0.3302029669,
259,0.3384125531,
258,0.3463785648,
257,0.3537482321,
256,0.361913532,
255,0.3701815903,
254,0.3784246743,
253,0.3869277537,
252,0.3952995539,
251,0.4028020203,
250,0.4107114375,
249,0.418305248,
248,0.4237326086,
247,0.4292390943,
246,0.4340373874,
245,0.4394569397,
244,0.4432952106,
243,0.4476740658,
242,0.4523036778,
241,0.4550192356,
240,0.4582347572,
239,0.4602718055,
238,0.4622674286,
237,0.4645373523,
236,0.4664333463,
235,0.468822062,
234,0.4716495574,
233,0.4760579765,
232,0.4808777273,
231,0.4865944386,
230,0.4949603379,
229,0.5059286356,
228,0.5204784274,
227,0.5384940505,
226,0.5614072084,
225,0.591604352,
224,0.6291968822,
223,0.6770944595,
222,0.7350469232,
221,0.8047794104,
220,0.8882312179,

blank,
blank
Collection Time: 14/05/2024 11:15:23 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

