blank 400ul,,
Wavelength (nm),Abs,
349,0.1199382991,
348,0.1033316031,
347,0.1032244936,
346,0.1064292416,
345,0.1057244614,
344,0.1053640246,
343,0.1060527489,
342,0.1063221246,
341,0.1079156324,
340,0.1071019322,
339,0.109005034,
338,0.1090946048,
337,0.1094913632,
336,0.1100479439,
335,0.111937657,
334,0.1112618893,
333,0.1125099286,
332,0.1138841212,
331,0.1133709997,
330,0.1142040193,
329,0.1161657274,
328,0.1170177534,
327,0.1172796041,
326,0.1176912114,
325,0.1201560423,
324,0.121052742,
323,0.1219626814,
322,0.1223279387,
321,0.1240810677,
320,0.1249472275,
319,0.1270110011,
318,0.1274583191,
317,0.1285759956,
316,0.1304775029,
315,0.1326603591,
314,0.1332737654,
313,0.1361980736,
312,0.1367568076,
311,0.1368642151,
310,0.1388634294,
309,0.1409453899,
308,0.1355313659,
307,0.1379424483,
306,0.1393763274,
305,0.1417508721,
304,0.1441932321,
303,0.1460575014,
302,0.1490247101,
301,0.1511160135,
300,0.1532530189,
299,0.1559827924,
298,0.1588964462,
297,0.1611687243,
296,0.1630686373,
295,0.1674305648,
294,0.1698187441,
293,0.1726445556,
292,0.1764541715,
291,0.18073982,
290,0.1845150441,
289,0.1869563758,
288,0.1911992431,
287,0.1953697205,
286,0.1982081234,
285,0.2024299949,
284,0.2051505893,
283,0.2091768682,
282,0.2128138542,
281,0.2162517756,
280,0.2196879387,
279,0.2239436805,
278,0.2265002877,
277,0.2310016602,
276,0.234686926,
275,0.2387014031,
274,0.2419753969,
273,0.2463522255,
272,0.2515945435,
271,0.2558130026,
270,0.2601363361,
269,0.2653996944,
268,0.2711467147,
267,0.2766724229,
266,0.2830767035,
265,0.2903577685,
264,0.2970827222,
263,0.3044061661,
262,0.3120209277,
261,0.3203001022,
260,0.3271331191,
259,0.3351342082,
258,0.3428114653,
257,0.3504748642,
256,0.3578875959,
255,0.366808176,
254,0.3747711182,
253,0.3833584487,
252,0.3914304376,
251,0.3992520273,
250,0.407533437,
249,0.4140897989,
248,0.4196566939,
247,0.425252825,
246,0.4305131137,
245,0.4349108934,
244,0.4394109845,
243,0.4429425597,
242,0.4477974176,
241,0.4508716464,
240,0.4538738132,
239,0.4562146068,
238,0.4574248493,
237,0.4598086774,
236,0.4620441198,
235,0.4652087688,
234,0.4676709473,
233,0.4728714526,
232,0.4789107442,
231,0.486715287,
230,0.4961442053,
229,0.5096497536,
228,0.5286699533,
227,0.5521223545,
226,0.5848726034,
225,0.6276836991,
224,0.6831067204,
223,0.7561533451,
222,0.8498003483,
221,0.9680858254,
220,1.120169878,

blank 400ul,
blank 400ul
Collection Time: 14/05/2024 11:19:53 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

