water,,
Wavelength (nm),Abs,
349,0.1208069623,
348,0.1055741459,
347,0.1045768857,
346,0.1071263775,
345,0.107799761,
344,0.1069713682,
343,0.1089098901,
342,0.1090142131,
341,0.1091717184,
340,0.1094663143,
339,0.1111540124,
338,0.1103556156,
337,0.1120066717,
336,0.1122156382,
335,0.1132620946,
334,0.1135916561,
333,0.1154171005,
332,0.1160723865,
331,0.1162741184,
330,0.1165451035,
329,0.1180488169,
328,0.1188529879,
327,0.1193078235,
326,0.1203544512,
325,0.121584028,
324,0.1232448593,
323,0.1229506955,
322,0.1252255738,
321,0.1261931807,
320,0.1265006065,
319,0.1280087382,
318,0.1286734194,
317,0.1314924955,
316,0.1325659901,
315,0.1342487633,
314,0.1349779367,
313,0.1381228715,
312,0.138164252,
311,0.1396653652,
310,0.141134575,
309,0.1434060484,
308,0.1389833391,
307,0.1402292997,
306,0.1420045495,
305,0.1445045173,
304,0.1467548162,
303,0.1488524824,
302,0.1505169868,
301,0.1538008004,
300,0.1559978426,
299,0.159139961,
298,0.1614947617,
297,0.1641702354,
296,0.1664294899,
295,0.1696537435,
294,0.1727288514,
293,0.1764400303,
292,0.179734394,
291,0.1833650768,
290,0.1879521161,
289,0.1900495291,
288,0.1946567893,
287,0.1984501034,
286,0.2012137622,
285,0.2051575333,
284,0.2081457376,
283,0.2126852572,
282,0.2151997387,
281,0.2190826237,
280,0.221689254,
279,0.2264710218,
278,0.2290633768,
277,0.23375009,
276,0.2365667075,
275,0.2410764694,
274,0.2450513095,
273,0.2493278384,
272,0.2539439201,
271,0.2581459284,
270,0.2631273866,
269,0.2684726417,
268,0.2726983428,
267,0.2789657116,
266,0.2853162289,
265,0.2930021882,
264,0.2996257246,
263,0.3069266081,
262,0.3149132431,
261,0.3230548799,
260,0.3309301734,
259,0.3391960561,
258,0.3468335569,
257,0.3540687561,
256,0.3625394702,
255,0.3709722459,
254,0.3793194294,
253,0.387575388,
252,0.3954951465,
251,0.4041044414,
250,0.4115245342,
249,0.4180620611,
248,0.4237006903,
247,0.4291809499,
246,0.4340667129,
245,0.4389753342,
244,0.4438797534,
243,0.447981596,
242,0.4523963332,
241,0.4553883672,
240,0.4581331015,
239,0.4604685605,
238,0.4623880684,
237,0.464623481,
236,0.4671994448,
235,0.4693264663,
234,0.4719825387,
233,0.4764274657,
232,0.4808720648,
231,0.4864811897,
230,0.4945690036,
229,0.505539,
228,0.5202637315,
227,0.5374429822,
226,0.5617935061,
225,0.591820538,
224,0.6304754615,
223,0.6775692701,
222,0.7353112102,
221,0.8048757315,
220,0.888169229,

water,
water
Collection Time: 14/05/2024 11:13:25 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

