t93 x27,,
Wavelength (nm),Abs,
349,0.1217488721,
348,0.1073519066,
347,0.1062684581,
346,0.1088434309,
345,0.1090344489,
344,0.1092157885,
343,0.1096881628,
342,0.1110748723,
341,0.1105189174,
340,0.1115925163,
339,0.1130388901,
338,0.1125925779,
337,0.1145412102,
336,0.1136884391,
335,0.1155282333,
334,0.1153868437,
333,0.1157425866,
332,0.1172029078,
331,0.1178158745,
330,0.1188806221,
329,0.1196824163,
328,0.121532321,
327,0.1211866513,
326,0.1219874993,
325,0.1229028702,
324,0.1246462166,
323,0.1253897697,
322,0.1271970272,
321,0.1283560842,
320,0.1289014667,
319,0.1306160241,
318,0.1309746802,
317,0.1331009418,
316,0.1351727843,
315,0.1370287836,
314,0.1381771266,
313,0.1410665214,
312,0.1421157122,
311,0.1439194083,
310,0.1465796679,
309,0.1492295414,
308,0.1479404122,
307,0.1519959122,
306,0.1571078748,
305,0.165103063,
304,0.1733088791,
303,0.1850767136,
302,0.1976469755,
301,0.214005813,
300,0.2323096395,
299,0.2527549565,
298,0.2720763981,
297,0.2916559875,
296,0.3097055256,
295,0.3289559782,
294,0.3465816081,
293,0.3646085262,
292,0.3841769993,
291,0.4029892385,
290,0.4215650856,
289,0.436442852,
288,0.4531098902,
287,0.4681866765,
286,0.482100904,
285,0.4974668026,
284,0.5113947988,
283,0.5269748569,
282,0.5412983894,
281,0.5564743876,
280,0.5713530183,
279,0.586838305,
278,0.6016891003,
277,0.617721796,
276,0.634209156,
275,0.6498257518,
274,0.6648933291,
273,0.6801351905,
272,0.6946825981,
271,0.7082362771,
270,0.7204705477,
269,0.732963264,
268,0.7442625165,
267,0.754463315,
266,0.7635071874,
265,0.7728802562,
264,0.778894484,
263,0.784062326,
262,0.7883349657,
261,0.7913437486,
260,0.7927054167,
259,0.792452395,
258,0.7911040783,
257,0.7885320187,
256,0.7858809233,
255,0.7815511823,
254,0.7787153125,
253,0.7757902145,
252,0.7715646625,
251,0.7671816945,
250,0.7635125518,
249,0.7584585547,
248,0.7556208968,
247,0.75097996,
246,0.7483024597,
245,0.7462509274,
244,0.7460107207,
243,0.7461432219,
242,0.7487779856,
241,0.7529082894,
240,0.7586192489,
239,0.7668828964,
238,0.7764122486,
237,0.7894459963,
236,0.8071151376,
235,0.8267333508,
234,0.8503556848,
233,0.8799465299,
232,0.9135365486,
231,0.952259481,
230,0.9969314933,
229,1.048215628,
228,1.107015014,
227,1.176539063,
226,1.254416347,
225,1.346243262,
224,1.454692245,
223,1.578973413,
222,1.725628972,
221,1.894313335,
220,2.093029261,

t93 x27,
t93 x27
Collection Time: 14/05/2024 12:41:20 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

