t93 x28,,
Wavelength (nm),Abs,
349,0.1254297048,
348,0.1098525822,
347,0.1104139239,
346,0.1118298844,
345,0.1115285605,
344,0.1111677215,
343,0.1130357981,
342,0.1142889187,
341,0.1138739958,
340,0.1135814711,
339,0.1154674441,
338,0.1152764484,
337,0.1174694523,
336,0.1169430688,
335,0.1180585027,
334,0.1185969189,
333,0.1197444126,
332,0.1210215092,
331,0.1201981679,
330,0.121543102,
329,0.1230583116,
328,0.1236170828,
327,0.1242830753,
326,0.1252897829,
325,0.1273385584,
324,0.1284946948,
323,0.1284068674,
322,0.1299789846,
321,0.1312755495,
320,0.1326126754,
319,0.1339566112,
318,0.1354334056,
317,0.1369575262,
316,0.138290897,
315,0.140477851,
314,0.1424297243,
313,0.145800069,
312,0.1466771215,
311,0.1471923739,
310,0.1500997692,
309,0.1533253789,
308,0.1500514299,
307,0.1542099565,
306,0.1584419459,
305,0.1658743918,
304,0.1730389744,
303,0.182279259,
302,0.1930333674,
301,0.2061168402,
300,0.2201551348,
299,0.236843735,
298,0.2531977892,
297,0.2685460448,
296,0.2837970853,
295,0.2989487946,
294,0.31467098,
293,0.3296587765,
292,0.3459481001,
291,0.3625684083,
290,0.3787163794,
289,0.3930138052,
288,0.4075705111,
287,0.4226605296,
286,0.4374625087,
285,0.4531362057,
284,0.4692581296,
283,0.4873100519,
282,0.5048855543,
281,0.5234556794,
280,0.5416282415,
279,0.5629242659,
278,0.5820499659,
277,0.6032034755,
276,0.6235776544,
275,0.6441810727,
274,0.663287282,
273,0.6832172871,
272,0.7018424273,
271,0.7206338644,
270,0.7373278737,
269,0.7536690831,
268,0.7671672702,
267,0.7812972069,
266,0.793866396,
265,0.8057871461,
264,0.8134591579,
263,0.8201577663,
262,0.8262101412,
261,0.8307902217,
260,0.8316212296,
259,0.832113564,
258,0.8306942582,
257,0.8289188743,
256,0.8253903389,
255,0.8225200176,
254,0.8179410696,
253,0.8144832253,
252,0.8097774386,
251,0.8057230115,
250,0.8012851477,
249,0.7969828844,
248,0.7921991348,
247,0.7882089019,
246,0.785615921,
245,0.7839203477,
244,0.7829910517,
243,0.7841385603,
242,0.7873851657,
241,0.7914374471,
240,0.7979606986,
239,0.8058136106,
238,0.8161922097,
237,0.8309047818,
236,0.8464913368,
235,0.8660387993,
234,0.8911864161,
233,0.9195060134,
232,0.9532348514,
231,0.9909027219,
230,1.035576582,
229,1.085688472,
228,1.144820094,
227,1.211702943,
226,1.289188504,
225,1.379905343,
224,1.485143542,
223,1.60899961,
222,1.753272772,
221,1.921445251,
220,2.119917154,

t93 x28,
t93 x28
Collection Time: 14/05/2024 12:43:30 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

