t26hours x28,,
Wavelength (nm),Abs,
349,0.1275151819,
348,0.1123581454,
347,0.1109752283,
346,0.1137830913,
345,0.1146737337,
344,0.1137368381,
343,0.1148702949,
342,0.1154967248,
341,0.1153969765,
340,0.1160538197,
339,0.1174155101,
338,0.117482543,
337,0.11934302,
336,0.1187610701,
335,0.1206228659,
334,0.1206737906,
333,0.1216519848,
332,0.1229304224,
331,0.1234459281,
330,0.1242026836,
329,0.1257304698,
328,0.1263381392,
327,0.1274001747,
326,0.1272258908,
325,0.1291332245,
324,0.1300887465,
323,0.1310123652,
322,0.1328024864,
321,0.1345609576,
320,0.1348300725,
319,0.1368330419,
318,0.1376801133,
317,0.1393189132,
316,0.1403611749,
315,0.1431530416,
314,0.1438984871,
313,0.1477895975,
312,0.1486935019,
311,0.1492207795,
310,0.1517103761,
309,0.1556268632,
308,0.1528266668,
307,0.1565124243,
306,0.1606184691,
305,0.1677635759,
304,0.1738848537,
303,0.1820348203,
302,0.191601783,
301,0.2041241229,
300,0.2164082825,
299,0.2312487066,
298,0.2458238602,
297,0.2600758076,
296,0.2729990184,
295,0.2866953909,
294,0.300056994,
293,0.3138494194,
292,0.328458488,
291,0.343164295,
290,0.3578585386,
289,0.3693222702,
288,0.3847331405,
287,0.39824301,
286,0.4102107882,
285,0.4260013103,
284,0.4396273494,
283,0.4564409256,
282,0.4718925059,
281,0.4887947738,
280,0.505499661,
279,0.5245588422,
278,0.5419883132,
277,0.5611262321,
276,0.5796611309,
275,0.5981281996,
274,0.6157636046,
273,0.6332092881,
272,0.6511368155,
271,0.6676247716,
270,0.6832604408,
269,0.6978713274,
268,0.7115577459,
267,0.7239806056,
266,0.7358717918,
265,0.7464518547,
264,0.7543634176,
263,0.7615113258,
262,0.7674121261,
261,0.7714865208,
260,0.7745449543,
259,0.7750732899,
258,0.775301218,
257,0.7752330899,
256,0.7735091448,
255,0.7710103989,
254,0.7694251537,
253,0.7669586539,
252,0.7644658089,
251,0.7616681457,
250,0.7588182688,
249,0.7561218739,
248,0.7526763678,
247,0.750364244,
246,0.7484847903,
245,0.7473520637,
244,0.7479147315,
243,0.7501157522,
242,0.7538520098,
241,0.7583509088,
240,0.763610363,
239,0.7722938061,
238,0.7817275524,
237,0.7953308821,
236,0.8106699586,
235,0.8293299675,
234,0.8514740467,
233,0.8785431981,
232,0.9110919237,
231,0.946462214,
230,0.9879547954,
229,1.03725481,
228,1.092226505,
227,1.159228325,
226,1.235893488,
225,1.326448202,
224,1.429488063,
223,1.55297029,
222,1.69660759,
221,1.868247032,
220,2.068200827,

t26hours x28,
t26hours x28
Collection Time: 15/05/2024 1:17:17 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

