blank water,,
Wavelength (nm),Abs,
349,0.1129051149,
348,0.09643600136,
347,0.09698592126,
346,0.09867730737,
345,0.09885736555,
344,0.09847410023,
343,0.09839726985,
342,0.1002152488,
341,0.1004620716,
340,0.09988179803,
339,0.1022138745,
338,0.1015694365,
337,0.102753453,
336,0.1027115807,
335,0.1042530686,
334,0.1043996066,
333,0.1045888066,
332,0.1053631306,
331,0.1050257757,
330,0.1075050309,
329,0.1082127318,
328,0.1076446772,
327,0.1087254807,
326,0.1094287857,
325,0.1111256927,
324,0.1113780215,
323,0.1119713262,
322,0.1132855117,
321,0.1139296517,
320,0.1154984161,
319,0.1162462384,
318,0.1176522151,
317,0.1185708642,
316,0.1195565686,
315,0.1223504096,
314,0.1233199835,
313,0.1257504523,
312,0.1269995123,
311,0.1278150231,
310,0.1290899515,
309,0.1314481348,
308,0.1274842471,
307,0.1300234646,
306,0.1319583505,
305,0.1336459517,
304,0.1360521317,
303,0.1388340592,
302,0.1411379129,
301,0.1443979144,
300,0.1466036886,
299,0.1502038687,
298,0.1537086368,
297,0.1561463177,
296,0.1589988321,
295,0.1623585671,
294,0.1665055603,
293,0.1694818586,
292,0.1739185452,
291,0.1783424318,
290,0.1828361452,
289,0.1849889904,
288,0.1896609664,
287,0.1945362985,
286,0.1977030933,
285,0.2027670294,
284,0.205779478,
283,0.2098926455,
282,0.2130604386,
281,0.2179210931,
280,0.2211118191,
279,0.2252030075,
278,0.2277760655,
277,0.2332036495,
276,0.2366100401,
275,0.2406490743,
274,0.2438988686,
273,0.2487938702,
272,0.2534724772,
271,0.2578026056,
270,0.2623713613,
269,0.2677137256,
268,0.2730174065,
267,0.2786419392,
266,0.2848446071,
265,0.292216301,
264,0.2986399531,
263,0.3061938584,
262,0.3138515353,
261,0.320946455,
260,0.3289830685,
259,0.3361003101,
258,0.3439097703,
257,0.3513508439,
256,0.3596000075,
255,0.3673744202,
254,0.3754013777,
253,0.3838486373,
252,0.3920914531,
251,0.3998841345,
250,0.40691939,
249,0.4137578309,
248,0.4199933112,
247,0.4249813259,
246,0.4300979972,
245,0.4348293245,
244,0.4398198426,
243,0.4443511963,
242,0.4486177564,
241,0.452303499,
240,0.4556324482,
239,0.4582523704,
238,0.4614492059,
237,0.4643952847,
236,0.467084527,
235,0.4704477191,
234,0.473359257,
233,0.4783174694,
232,0.4844859242,
231,0.4914515615,
230,0.4999862611,
229,0.5121450424,
228,0.5266533494,
227,0.5462231636,
226,0.5704231262,
225,0.6014081836,
224,0.6408817768,
223,0.6895569563,
222,0.7487589717,
221,0.8204680681,
220,0.9047828317,

blank water,
blank water
Collection Time: 1/09/2024 2:42:04 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 223.00

