empty cuvette,,
Wavelength (nm),Abs,
349,0.1921245754,
348,0.1924854815,
347,0.193795532,
346,0.1963151097,
345,0.1950387508,
344,0.1955510527,
343,0.1955433637,
342,0.1952827126,
341,0.1972483397,
340,0.1956563145,
339,0.1963986754,
338,0.1962338388,
337,0.1981945932,
336,0.1992967874,
335,0.1991341263,
334,0.2001104802,
333,0.2002749145,
332,0.202051878,
331,0.202867046,
330,0.202482447,
329,0.2037001252,
328,0.2062341869,
327,0.2063164711,
326,0.2060285509,
325,0.2094395906,
324,0.2103987783,
323,0.2113580406,
322,0.2124033719,
321,0.2122550607,
320,0.2146631479,
319,0.2162729055,
318,0.2165447772,
317,0.2177406251,
316,0.2194658369,
315,0.2222395688,
314,0.221533075,
313,0.2238838524,
312,0.2255268246,
311,0.227886647,
310,0.2298373878,
309,0.2320563793,
308,0.2275392562,
307,0.2292341888,
306,0.2312939018,
305,0.2341489494,
304,0.2365290821,
303,0.2392358482,
302,0.2425305098,
301,0.2455522716,
300,0.2482173145,
299,0.2522942126,
298,0.2552395761,
297,0.2579758167,
296,0.2618319392,
295,0.2648761272,
294,0.2680677772,
293,0.2723629475,
292,0.2759741843,
291,0.2804087102,
290,0.2843728662,
289,0.2892412543,
288,0.292563796,
287,0.2970093191,
286,0.3018574715,
285,0.3050222695,
284,0.3098824024,
283,0.3133199513,
282,0.3170531094,
281,0.3212870955,
280,0.3250283003,
279,0.3287440538,
278,0.3331812918,
277,0.3369830847,
276,0.3409652114,
275,0.3448915184,
274,0.3480464518,
273,0.3534168601,
272,0.3590905964,
271,0.3628267646,
270,0.3682924807,
269,0.3728369176,
268,0.3784464598,
267,0.3846326172,
266,0.3914789855,
265,0.3987761736,
264,0.4061304629,
263,0.4130454063,
262,0.4205818474,
261,0.4290516675,
260,0.4362223446,
259,0.4439572692,
258,0.4516622722,
257,0.4590184391,
256,0.4678169787,
255,0.4756641388,
254,0.4849029183,
253,0.4926669598,
252,0.5007898211,
251,0.5086629987,
250,0.517013669,
249,0.5232639909,
248,0.5299568176,
247,0.5356231928,
246,0.5395606756,
245,0.5451714396,
244,0.5500708818,
243,0.5544076562,
242,0.5583620071,
241,0.5625271201,
240,0.5647851229,
239,0.567548275,
238,0.5704241395,
237,0.5730948448,
236,0.5756242871,
235,0.5784062147,
234,0.5827181339,
233,0.5870704651,
232,0.5930709839,
231,0.5999603868,
230,0.6094599366,
229,0.6213146448,
228,0.6365591884,
227,0.6570444703,
226,0.6821285486,
225,0.7150816917,
224,0.7549220324,
223,0.8054935932,
222,0.8666471839,
221,0.940346837,
220,1.027773976,

empty cuvette,
empty cuvette
Collection Time: 27/08/2024 9:23:41 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

