cuvette with 300 ul water,,
Wavelength (nm),Abs,
349,0.1169386953,
348,0.1170863211,
347,0.1182796806,
346,0.1202321351,
345,0.1195320934,
344,0.1197540238,
343,0.1193411425,
342,0.12080919,
341,0.1226699203,
340,0.1214482561,
339,0.1215670779,
338,0.121434249,
337,0.1234802157,
336,0.1242878288,
335,0.1239229143,
334,0.1261931509,
333,0.1254626811,
332,0.1266844422,
331,0.1278558224,
330,0.1275944561,
329,0.1279910356,
328,0.1311700493,
327,0.1313046962,
326,0.1312499195,
325,0.1327930093,
324,0.1343417317,
323,0.1340512782,
322,0.1346495003,
321,0.1366368085,
320,0.138066873,
319,0.1386125237,
318,0.1383072734,
317,0.1398674697,
316,0.1417307109,
315,0.1435005516,
314,0.1444208771,
313,0.1474761516,
312,0.1490128934,
311,0.1516299099,
310,0.1540167928,
309,0.1549340338,
308,0.1500368416,
307,0.1526640207,
306,0.1553790867,
305,0.1578678787,
304,0.1599529535,
303,0.1634983867,
302,0.1657273471,
301,0.1695732176,
300,0.171618551,
299,0.1754775643,
298,0.1787486523,
297,0.1823862046,
296,0.1849702895,
295,0.1888172477,
294,0.1921140701,
293,0.1967575699,
292,0.1996581703,
291,0.2044516504,
290,0.2087711394,
289,0.2127898633,
288,0.2165143937,
287,0.2218648642,
286,0.2254669219,
285,0.2292504162,
284,0.234076336,
283,0.2367321849,
282,0.2409281731,
281,0.2448764443,
280,0.2488086969,
279,0.2532902658,
278,0.257088989,
277,0.2611826956,
276,0.2651363611,
275,0.2689146101,
274,0.2728176415,
273,0.2780194581,
272,0.2836011946,
271,0.2882005274,
270,0.2933237553,
269,0.2978911102,
268,0.3042541742,
267,0.3101460636,
266,0.3158833385,
265,0.3230465651,
264,0.3305570483,
263,0.3378675282,
262,0.3451248705,
261,0.3528721035,
260,0.3606110513,
259,0.3682627082,
258,0.3758073449,
257,0.3835124671,
256,0.3911207914,
255,0.3997150958,
254,0.4077916741,
253,0.4156626165,
252,0.4245476425,
251,0.4327495694,
250,0.4393365979,
249,0.4460607171,
248,0.4512395859,
247,0.4583128393,
246,0.4620444775,
245,0.4670918584,
244,0.4718976617,
243,0.4752828479,
242,0.4796188176,
241,0.4832158387,
240,0.4858952463,
239,0.4890037477,
238,0.4903662801,
237,0.4934539497,
236,0.496706903,
235,0.49913463,
234,0.5038967729,
233,0.5071953535,
232,0.5131451488,
231,0.5200866461,
230,0.5290728807,
229,0.5414326787,
228,0.5566182733,
227,0.576282084,
226,0.6006596684,
225,0.6334027648,
224,0.6728944182,
223,0.7221201062,
222,0.7822673321,
221,0.8552796245,
220,0.9408282042,

cuvette with 300 ul water,
cuvette with 300 ul water
Collection Time: 27/08/2024 9:31:37 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 221.33

