water blank,,
Wavelength (nm),Abs,
349,0.09417022765,
348,0.09562557191,
347,0.09598185122,
346,0.0979635492,
345,0.09771084785,
344,0.09791742265,
343,0.09743111581,
342,0.09844899923,
341,0.09818660468,
340,0.09918804467,
339,0.09962322563,
338,0.09955085069,
337,0.1012845933,
336,0.101753287,
335,0.1021775156,
334,0.1032352,
333,0.1031575873,
332,0.1044748351,
331,0.1051250845,
330,0.1052629426,
329,0.1056136563,
328,0.1085293517,
327,0.1085850224,
326,0.1089602858,
325,0.1105580479,
324,0.1105211899,
323,0.1121310145,
322,0.112947315,
321,0.1138645038,
320,0.1157210991,
319,0.1157688797,
318,0.1162825078,
317,0.1177693605,
316,0.1189329103,
315,0.1207163781,
314,0.1208474785,
313,0.1238878667,
312,0.1248038039,
311,0.1266459674,
310,0.1283497512,
309,0.129739508,
308,0.12628977,
307,0.1287595183,
306,0.1314029843,
305,0.132963106,
304,0.1355957389,
303,0.1385555118,
302,0.1395785064,
301,0.1445662379,
300,0.1466768384,
299,0.1498645246,
298,0.1523039192,
297,0.1548284888,
296,0.1596532017,
295,0.161179468,
294,0.1655776054,
293,0.1695593745,
292,0.1725740731,
291,0.1767176986,
290,0.1808632761,
289,0.1847000122,
288,0.1879022717,
287,0.1924737841,
286,0.1964923888,
285,0.2000816762,
284,0.2042098194,
283,0.2077875882,
282,0.2113458216,
281,0.2154369652,
280,0.2193992436,
279,0.2227994353,
278,0.2267772853,
277,0.2313132882,
276,0.2347528338,
275,0.2384979129,
274,0.2422878295,
273,0.2467293888,
272,0.2511557043,
271,0.2558485568,
270,0.2607741356,
269,0.2648452222,
268,0.2710350454,
267,0.2761685848,
266,0.2825993299,
265,0.2897919118,
264,0.2965722084,
263,0.3035781384,
262,0.3109129667,
261,0.3192712665,
260,0.3264792264,
259,0.3334335983,
258,0.3412652016,
257,0.3485620618,
256,0.3567498922,
255,0.3647761643,
254,0.3727336228,
253,0.38078776,
252,0.3888297081,
251,0.3969525099,
250,0.4040182233,
249,0.4099085927,
248,0.415941745,
247,0.421587497,
246,0.4259591997,
245,0.4309146106,
244,0.4351537824,
243,0.4392820299,
242,0.4432154894,
241,0.446819514,
240,0.4502445757,
239,0.45188573,
238,0.4550629556,
237,0.4574456811,
236,0.4596543312,
235,0.4622845054,
234,0.4659577608,
233,0.4702097476,
232,0.4758404493,
231,0.4817179441,
230,0.4920822382,
229,0.5021573305,
228,0.5165987611,
227,0.5356293321,
226,0.5594004393,
225,0.591188848,
224,0.6298983097,
223,0.6781327128,
222,0.7372646928,
221,0.8085951209,
220,0.8936092854,

water blank,
water blank
Collection Time: 27/08/2024 10:17:29 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

