cuvette with water,,
Wavelength (nm),Abs,
349,0.09340845793,
348,0.09300649166,
347,0.09535597265,
346,0.09564808756,
345,0.09536825866,
344,0.09560289234,
343,0.09480605274,
342,0.0955093801,
341,0.09745220095,
340,0.09671228379,
339,0.09696501493,
338,0.0975773409,
337,0.09855454415,
336,0.09870716184,
335,0.09905675054,
334,0.1002829745,
333,0.1001218781,
332,0.1029642522,
331,0.1022989824,
330,0.1025872454,
329,0.1033398807,
328,0.1046954989,
327,0.1063999683,
326,0.1058249921,
325,0.1067434251,
324,0.1082607582,
323,0.1088955179,
322,0.1090849936,
321,0.1098759472,
320,0.1119229868,
319,0.1124808118,
318,0.1142040864,
317,0.1149033755,
316,0.1152635887,
315,0.1176672205,
314,0.1187063605,
313,0.1207137778,
312,0.1224557236,
311,0.1246046275,
310,0.1262599975,
309,0.1276443899,
308,0.1233810931,
307,0.1248027682,
306,0.1279466897,
305,0.1303758919,
304,0.1323120743,
303,0.1348531693,
302,0.1369542629,
301,0.1403130144,
300,0.1432372481,
299,0.1458300501,
298,0.1492203772,
297,0.152504757,
296,0.1558415741,
295,0.1589619815,
294,0.162617892,
293,0.1668665409,
292,0.170176357,
291,0.1742338091,
290,0.1786119044,
289,0.1825832725,
288,0.1864624619,
287,0.1904118061,
286,0.1940451413,
285,0.1981126964,
284,0.2019537538,
283,0.2052445561,
282,0.2090946585,
281,0.2128614485,
280,0.2160625905,
279,0.2205434144,
278,0.2246748209,
277,0.2288446724,
276,0.2319434136,
275,0.2360489964,
274,0.2393581867,
273,0.2438010126,
272,0.2492500395,
271,0.2533759475,
270,0.2582444251,
269,0.2625188529,
268,0.2689479291,
267,0.274454236,
266,0.2809589505,
265,0.2875429392,
264,0.2941884696,
263,0.3015248179,
262,0.3086884022,
261,0.3171354532,
260,0.324000448,
259,0.3320147991,
258,0.3394304514,
257,0.3465542793,
256,0.3547226787,
255,0.3628236353,
254,0.3706382513,
253,0.3788876832,
252,0.3871082664,
251,0.3952002227,
250,0.4025014341,
249,0.4088756442,
248,0.4150418639,
247,0.4205777943,
246,0.4245187044,
245,0.429600209,
244,0.4340366125,
243,0.4378177822,
242,0.442389369,
241,0.445351243,
240,0.4483967125,
239,0.4507762194,
238,0.4529083669,
237,0.4556925893,
236,0.4578705132,
235,0.4602852464,
234,0.464705348,
233,0.468616873,
232,0.4742979109,
231,0.4802202284,
230,0.4897935092,
229,0.5012771487,
228,0.5159884095,
227,0.5359050632,
226,0.5601122975,
225,0.5911878943,
224,0.6311813593,
223,0.67992872,
222,0.7393321395,
221,0.811193049,
220,0.8964210153,

cuvette with water,
cuvette with water
Collection Time: 27/08/2024 9:33:59 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

