blank water,,
Wavelength (nm),Abs,
349,0.09880039096,
348,0.09847068787,
347,0.09837885946,
346,0.09952763468,
345,0.09971248358,
344,0.1011061668,
343,0.09928378463,
342,0.1002438068,
341,0.1016421169,
340,0.1015816033,
339,0.1020624116,
338,0.1026131436,
337,0.1031475812,
336,0.1045071036,
335,0.1043696851,
334,0.1053241342,
333,0.106010288,
332,0.1064886749,
331,0.1072646454,
330,0.1077207327,
329,0.1084142029,
328,0.1106109768,
327,0.111057587,
326,0.1115717664,
325,0.1125683933,
324,0.1132449284,
323,0.1142478958,
322,0.1150635779,
321,0.1151608527,
320,0.1176451519,
319,0.1186856404,
318,0.1181461588,
317,0.1194574162,
316,0.121469073,
315,0.1232215837,
314,0.1236215159,
313,0.1258644015,
312,0.1273422092,
311,0.1297445744,
310,0.132009387,
309,0.132289812,
308,0.128646031,
307,0.1304820776,
306,0.1334106475,
305,0.1353384405,
304,0.1383396387,
303,0.1408345699,
302,0.1431073099,
301,0.1461746395,
300,0.1493462473,
299,0.1514090151,
298,0.1538938433,
297,0.15752621,
296,0.1615703851,
295,0.1643399298,
294,0.1681453884,
293,0.171285823,
292,0.1748616397,
291,0.1794756502,
290,0.1831671,
289,0.1866628081,
288,0.1909889877,
287,0.1950881183,
286,0.1990411878,
285,0.2026037723,
284,0.2072551101,
283,0.2101726383,
282,0.2142931074,
281,0.2181636691,
280,0.2219834924,
279,0.225409627,
278,0.2295528054,
277,0.2338566035,
276,0.2371552438,
275,0.241117239,
274,0.2447368503,
273,0.2492402941,
272,0.2542564273,
271,0.2589345574,
270,0.2635276914,
269,0.2681442797,
268,0.274518311,
267,0.2799974978,
266,0.286224246,
265,0.2935314775,
264,0.3001196086,
263,0.3076709211,
262,0.3153096735,
261,0.3227942288,
260,0.3304542601,
259,0.3376848698,
258,0.3451103866,
257,0.3522768915,
256,0.3607723415,
255,0.3689555228,
254,0.3772504926,
253,0.3850374818,
252,0.393459022,
251,0.4015479982,
250,0.4079436064,
249,0.4158378839,
248,0.4221926928,
247,0.4270610213,
246,0.4318440855,
245,0.437473774,
244,0.4409950972,
243,0.4458613694,
242,0.4497758448,
241,0.4535536766,
240,0.455502063,
239,0.4592528939,
238,0.4609725773,
237,0.463984102,
236,0.4667288661,
235,0.4697096944,
234,0.4736519158,
233,0.4775305688,
232,0.4834155738,
231,0.4896337092,
230,0.498845607,
229,0.5103819966,
228,0.5253015161,
227,0.5441779494,
226,0.5683751106,
225,0.6002677083,
224,0.6392739415,
223,0.6881619692,
222,0.7473649979,
221,0.8185787797,
220,0.9033682346,

blank water,
blank water
Collection Time: 27/08/2024 2:02:09 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

