6ul x24 to 500ul x33,,
Wavelength (nm),Abs,
349,0.1135200113,
348,0.09763415158,
347,0.09741611034,
346,0.09911776334,
345,0.09914738685,
344,0.09829114377,
343,0.1000047997,
342,0.1001672521,
341,0.09999167174,
340,0.1004063562,
339,0.1009892523,
338,0.101547949,
337,0.102584362,
336,0.1033776477,
335,0.103709884,
334,0.1028772146,
333,0.1047967449,
332,0.1063926965,
331,0.104981631,
330,0.1065003201,
329,0.106584087,
328,0.1090305895,
327,0.1090492532,
326,0.1092899963,
325,0.1106345877,
324,0.1112230271,
323,0.1115589812,
322,0.1143209487,
321,0.1143347546,
320,0.1153529435,
319,0.1160229817,
318,0.1186136231,
317,0.1190877184,
316,0.1205062866,
315,0.1219030097,
314,0.122775577,
313,0.1272537559,
312,0.1270912588,
311,0.128204152,
310,0.1301036924,
309,0.1325110644,
308,0.1288394034,
307,0.1311297417,
306,0.1334597766,
305,0.1367149353,
304,0.1394164413,
303,0.1434430629,
302,0.1463731527,
301,0.1506701112,
300,0.1542307884,
299,0.1604058146,
298,0.1657012999,
297,0.1701470912,
296,0.1756142676,
295,0.1805876493,
294,0.1879149675,
293,0.1952183545,
292,0.2044958919,
291,0.2149492651,
290,0.2258342505,
289,0.2381982505,
288,0.254240185,
287,0.2726631761,
286,0.2931669354,
285,0.3188160658,
284,0.3481765091,
283,0.3820348382,
282,0.4185969532,
281,0.4601952434,
280,0.5043658018,
279,0.5500429273,
278,0.5973882675,
277,0.6449569464,
276,0.6927890182,
275,0.7409839034,
274,0.7878065705,
273,0.8328183889,
272,0.8768534064,
271,0.917738378,
270,0.9577319026,
269,0.9930866361,
268,1.027389288,
267,1.056418419,
266,1.082525253,
265,1.105323672,
264,1.121456385,
263,1.134874225,
262,1.144415617,
261,1.150714397,
260,1.152315497,
259,1.151764989,
258,1.147391438,
257,1.141581893,
256,1.133320093,
255,1.124085307,
254,1.113568187,
253,1.10341084,
252,1.090270042,
251,1.080211997,
250,1.069573045,
249,1.059399366,
248,1.050635934,
247,1.041773677,
246,1.037642002,
245,1.033445477,
244,1.031593919,
243,1.032387614,
242,1.03617537,
241,1.040597677,
240,1.048918009,
239,1.059151888,
238,1.072457314,
237,1.088477612,
236,1.108131766,
235,1.129615903,
234,1.154678345,
233,1.184165359,
232,1.216358542,
231,1.252296567,
230,1.2930305,
229,1.337665081,
228,1.385425329,
227,1.439537406,
226,1.499116182,
225,1.569659948,
224,1.649302125,
223,1.746242285,
222,1.861406446,
221,2.001785517,
220,2.17347765,

6ul x24 to 500ul x33,
6ul x24 to 500ul x33
Collection Time: 1/09/2024 10:26:59 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

