7point5ul x25 to 500ul x34,,
Wavelength (nm),Abs,
349,0.1148162708,
348,0.09854646027,
347,0.09760054201,
346,0.1012878269,
345,0.1008058265,
344,0.09962905198,
343,0.1006536409,
342,0.1004299372,
341,0.1014174148,
340,0.1013262346,
339,0.1023204103,
338,0.1017329693,
337,0.1031826064,
336,0.1050338522,
335,0.1046585664,
334,0.105198659,
333,0.1058309674,
332,0.107195653,
331,0.1068480685,
330,0.1087800786,
329,0.1093832925,
328,0.1101510078,
327,0.1103626266,
326,0.1110823974,
325,0.1121619418,
324,0.1121703237,
323,0.1126346141,
322,0.1151619703,
321,0.1157997996,
320,0.1164171845,
319,0.1182174534,
318,0.1191862747,
317,0.1205687746,
316,0.1230733991,
315,0.1254613549,
314,0.1252905428,
313,0.129947409,
312,0.1320988536,
311,0.1345576048,
310,0.1377018541,
309,0.1451544762,
308,0.1462295055,
307,0.1541987658,
306,0.1655522585,
305,0.1816491485,
304,0.202090919,
303,0.227364704,
302,0.2601713538,
301,0.2985760272,
300,0.3410435617,
299,0.3900859058,
298,0.4389927685,
297,0.4863405824,
296,0.5308771133,
295,0.5744073987,
294,0.6160571575,
293,0.6581292152,
292,0.7004742622,
291,0.7397526503,
290,0.778036952,
289,0.8097019196,
288,0.8363522291,
287,0.8600923419,
286,0.8771798611,
285,0.8938381672,
284,0.9038473368,
283,0.9119348526,
282,0.9162995815,
281,0.9174374342,
280,0.9145188332,
279,0.9128193259,
278,0.9073266983,
277,0.9044516087,
276,0.9004423022,
275,0.8955577612,
274,0.8918766975,
273,0.8865870237,
272,0.8817420602,
271,0.8756507039,
270,0.8699558377,
269,0.8654763103,
268,0.8607181907,
267,0.8564578295,
266,0.8529599905,
265,0.8491079211,
264,0.8449351788,
263,0.8402574062,
262,0.8370906711,
261,0.8317017555,
260,0.8263418078,
259,0.8193820119,
258,0.8117713332,
257,0.8058765531,
256,0.7984724045,
255,0.7904256582,
254,0.7824473381,
253,0.7746139169,
252,0.767873168,
251,0.7603061795,
250,0.7519974709,
249,0.7439470887,
248,0.7368699908,
247,0.7305320501,
246,0.7241821885,
245,0.7186092138,
244,0.7146837115,
243,0.7119258046,
242,0.7122967839,
241,0.7136399746,
240,0.7185326219,
239,0.7260345817,
238,0.7371135354,
237,0.7532907128,
236,0.7725464106,
235,0.7984422445,
234,0.8279188275,
233,0.8622315526,
232,0.9042984247,
231,0.949840486,
230,1.000318885,
229,1.058722138,
228,1.123410225,
227,1.19578743,
226,1.276012897,
225,1.368415594,
224,1.470465422,
223,1.592207074,
222,1.727045298,
221,1.886124492,
220,2.07144928,

7point5ul x25 to 500ul x34,
7point5ul x25 to 500ul x34
Collection Time: 1/09/2024 10:30:23 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

