x33 naoh,,
Wavelength (nm),Abs,
349,0.1135471091,
348,0.09724804759,
347,0.09646418691,
346,0.09930200875,
345,0.09796306491,
344,0.09805090725,
343,0.09898066521,
342,0.099378407,
341,0.09968242049,
340,0.09999255091,
339,0.1014118865,
338,0.1007265598,
337,0.1020708904,
336,0.1016564444,
335,0.1027912423,
334,0.1029359996,
333,0.1036517099,
332,0.1046973094,
331,0.1047201753,
330,0.1058637053,
329,0.1062021405,
328,0.1079096273,
327,0.1081056744,
326,0.1077680066,
325,0.1100232974,
324,0.1105399206,
323,0.1106549278,
322,0.1127037331,
321,0.1141014993,
320,0.1143967658,
319,0.1149892882,
318,0.1161615327,
317,0.1182710528,
316,0.1193904504,
315,0.1207685024,
314,0.1222576872,
313,0.1238983348,
312,0.1257263869,
311,0.1262520999,
310,0.1278863549,
309,0.1307101697,
308,0.1266975403,
307,0.128764078,
306,0.1305465102,
305,0.1333866417,
304,0.1350202858,
303,0.1381946802,
302,0.1407499015,
301,0.1433212459,
300,0.1463306993,
299,0.1497431844,
298,0.1526738405,
297,0.1560909152,
296,0.1586443633,
295,0.1616981179,
294,0.1656251401,
293,0.169451341,
292,0.1735238731,
291,0.1776210815,
290,0.1822748482,
289,0.1840894371,
288,0.1894724369,
287,0.1937941909,
286,0.1968592703,
285,0.2008809447,
284,0.2040413767,
283,0.2093152404,
282,0.2126156837,
281,0.2170784473,
280,0.2206620574,
279,0.2244389057,
278,0.2279774398,
277,0.2318355441,
276,0.2354114205,
275,0.2403587252,
274,0.2441068441,
273,0.2473807484,
272,0.2528418303,
271,0.2571780086,
270,0.262229383,
269,0.2666872442,
268,0.2724004388,
267,0.2785681188,
266,0.2842325866,
265,0.2915777564,
264,0.2981069684,
263,0.305568099,
262,0.3128270507,
261,0.3198640943,
260,0.3283332884,
259,0.3359205723,
258,0.3432796597,
257,0.3507592976,
256,0.3586394489,
255,0.3672072589,
254,0.374858886,
253,0.3838921785,
252,0.3915005922,
251,0.3998047411,
250,0.4067716002,
249,0.4137929678,
248,0.4195184708,
247,0.4246965647,
246,0.4304069877,
245,0.4352979362,
244,0.4393129647,
243,0.4444103539,
242,0.4483506382,
241,0.4528339803,
240,0.4559962153,
239,0.4589948356,
238,0.4621408284,
237,0.4649319351,
236,0.4682048261,
235,0.4723396003,
234,0.4758387208,
233,0.4816682935,
232,0.4891189933,
231,0.4975699186,
230,0.5095525384,
229,0.5243143439,
228,0.54481107,
227,0.5719379187,
226,0.6062745452,
225,0.6523903012,
224,0.711273551,
223,0.7888936996,
222,0.888668716,
221,1.012201667,
220,1.172567725,

x33 naoh,
x33 naoh
Collection Time: 1/09/2024 10:02:09 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

