blank water,,
Wavelength (nm),Abs,
349,0.1122647151,
348,0.09753657877,
347,0.09740850329,
346,0.09937092662,
345,0.09973450005,
344,0.09927106649,
343,0.1002219021,
342,0.09998189658,
341,0.1000800878,
340,0.1005569771,
339,0.1000346243,
338,0.1012831852,
337,0.1020430252,
336,0.1025197208,
335,0.1034848914,
334,0.1036685035,
333,0.104604125,
332,0.1056153104,
331,0.1053570285,
330,0.1067143381,
329,0.1081916839,
328,0.1088216156,
327,0.1080903411,
326,0.108895421,
325,0.1105006561,
324,0.1111360863,
323,0.1122050434,
322,0.1128004864,
321,0.1144624278,
320,0.1149284393,
319,0.1164724901,
318,0.1177721098,
317,0.1196035817,
316,0.119832918,
315,0.1224771738,
314,0.1221841499,
313,0.1261345595,
312,0.1272850186,
311,0.1269799173,
310,0.1287146807,
309,0.1320098042,
308,0.1266878247,
307,0.1295630038,
306,0.1310981661,
305,0.134152025,
304,0.1362606734,
303,0.1379304379,
302,0.1415461302,
301,0.1447561085,
300,0.1466819793,
299,0.1498143822,
298,0.1533254981,
297,0.1559864283,
296,0.1584889293,
295,0.1625721604,
294,0.1663178205,
293,0.1692914516,
292,0.1731341034,
291,0.1779213846,
290,0.1824206859,
289,0.185122028,
288,0.1899358332,
287,0.1943725199,
286,0.1978452206,
285,0.2023072392,
284,0.2050752044,
283,0.2099872977,
282,0.21330975,
281,0.2171581239,
280,0.2211595476,
279,0.2252365351,
278,0.2282498181,
277,0.2327277511,
276,0.2360464931,
275,0.2402823269,
274,0.2444626093,
273,0.2484616935,
272,0.2529899478,
271,0.2581587732,
270,0.2624953091,
269,0.2677052319,
268,0.2727325857,
267,0.2779640853,
266,0.2844392955,
265,0.2919872701,
264,0.2988311648,
263,0.3057090044,
262,0.3128140867,
261,0.3205584586,
260,0.3284238577,
259,0.3356668353,
258,0.3436208367,
257,0.3503870666,
256,0.3587577641,
255,0.366332382,
254,0.3739720285,
253,0.3837040067,
252,0.3911535144,
251,0.3986209929,
250,0.4060924053,
249,0.4130727351,
248,0.4186639786,
247,0.4249557257,
246,0.4308028817,
245,0.4353012145,
244,0.4398628473,
243,0.444537431,
242,0.4482430816,
241,0.4524912238,
240,0.4555154741,
239,0.4578864574,
238,0.4607393146,
237,0.4629180133,
236,0.4662463367,
235,0.4690773785,
234,0.4724693298,
233,0.476338923,
232,0.4827776849,
231,0.4894617796,
230,0.4983318746,
229,0.5097497702,
228,0.5253015161,
227,0.5444189906,
226,0.5690736771,
225,0.6000531316,
224,0.6390510798,
223,0.6881275773,
222,0.7485383749,
221,0.8187853098,
220,0.9028874636,

blank water,
blank water
Collection Time: 1/09/2024 11:38:58 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

