blank x33,,
Wavelength (nm),Abs,
349,0.1113056019,
348,0.09635552764,
347,0.09533498436,
346,0.09711714089,
345,0.09830114245,
344,0.09651070833,
343,0.09725225717,
342,0.09878072888,
341,0.09894292057,
340,0.09970782697,
339,0.1003772914,
338,0.09943506867,
337,0.1019665152,
336,0.1021539345,
335,0.1020245254,
334,0.1032748297,
333,0.1037393659,
332,0.1048463061,
331,0.1047489345,
330,0.1058580875,
329,0.1061814129,
328,0.106969811,
327,0.1072904617,
326,0.1083177254,
325,0.11037644,
324,0.1102628112,
323,0.1114609614,
322,0.1117703766,
321,0.1133475453,
320,0.1140533015,
319,0.1163422987,
318,0.1164786518,
317,0.1183185354,
316,0.1189901307,
315,0.1210029423,
314,0.1215326637,
313,0.1245300695,
312,0.1258746386,
311,0.1263162941,
310,0.1286368668,
309,0.130394876,
308,0.1264738888,
307,0.1284545362,
306,0.1302950233,
305,0.1337364912,
304,0.1361008584,
303,0.138216272,
302,0.1414033622,
301,0.144309774,
300,0.1462543756,
299,0.1504191011,
298,0.153843075,
297,0.1566998363,
296,0.1592195481,
295,0.1628679186,
294,0.1666529924,
293,0.1693368256,
292,0.1739774197,
291,0.1782782674,
290,0.1825733334,
289,0.1850980818,
288,0.1898511797,
287,0.1941402107,
286,0.19716461,
285,0.2017250061,
284,0.2053013742,
283,0.2096371055,
282,0.2126862258,
281,0.2169511318,
280,0.2208448648,
279,0.2255718559,
278,0.228100583,
277,0.2332976311,
276,0.2363560647,
275,0.2411845773,
274,0.2447661012,
273,0.249326691,
272,0.2532976866,
271,0.2577407658,
270,0.2627985775,
269,0.2681625485,
268,0.2729438841,
267,0.2789361477,
266,0.2851237357,
265,0.2929757535,
264,0.2995611131,
263,0.3061950207,
262,0.3143814504,
261,0.3223659098,
260,0.3292553425,
259,0.3374723792,
258,0.3444972038,
257,0.3526670933,
256,0.3607047796,
255,0.3683053255,
254,0.3764689565,
253,0.3850898445,
252,0.3930147886,
251,0.4008853137,
250,0.40810287,
249,0.4148942232,
248,0.4203001857,
247,0.4255459607,
246,0.4315939546,
245,0.4361362755,
244,0.4406115711,
243,0.4451433122,
242,0.4490782619,
241,0.4534775019,
240,0.4566352367,
239,0.4594452083,
238,0.4623874724,
237,0.4654557109,
236,0.4687306583,
235,0.4725105166,
234,0.4772496819,
233,0.4834954739,
232,0.4912240207,
231,0.5012967587,
230,0.5131310225,
229,0.5304445624,
228,0.5520970821,
227,0.5805562735,
226,0.6175845265,
225,0.6668629646,
224,0.7300687432,
223,0.8119826913,
222,0.9170820117,
221,1.048784733,
220,1.216470122,

blank x33,
blank x33
Collection Time: 5/09/2024 12:58:45 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
Date/Time stamp: 5/09/2024 12:56:21 PM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 164.00
<Current Wavelength> , 220.00

