blank x33 from freshly filled tube,,
Wavelength (nm),Abs,
349,0.11020042,
348,0.09429107606,
347,0.09513179213,
346,0.09586340189,
345,0.09633316845,
344,0.09553927928,
343,0.0967220515,
342,0.09668168426,
341,0.09801003337,
340,0.09669219702,
339,0.09940798581,
338,0.09759691358,
337,0.09960690886,
336,0.09978748858,
335,0.100505881,
334,0.1004354134,
333,0.1006813496,
332,0.1013179645,
331,0.1024612114,
330,0.1030040532,
329,0.1043631956,
328,0.1057249606,
327,0.1048986688,
326,0.1060147136,
325,0.1074689254,
324,0.1081188247,
323,0.1093094721,
322,0.1103075892,
321,0.1119677424,
320,0.1120470762,
319,0.1128699705,
318,0.1141976938,
317,0.1163326502,
316,0.1171560884,
315,0.1186451912,
314,0.119390212,
313,0.1224831119,
312,0.1231249571,
311,0.1236752719,
310,0.1255862713,
309,0.1279207617,
308,0.123911418,
307,0.1262681633,
306,0.1276106089,
305,0.1307190955,
304,0.133239001,
303,0.1354056895,
302,0.1379608065,
301,0.1411633492,
300,0.1439657658,
299,0.1470635235,
298,0.1504505128,
297,0.1536640227,
296,0.1561654806,
295,0.1601360142,
294,0.1635465175,
293,0.1673972607,
292,0.171842888,
291,0.175284043,
290,0.1804640442,
289,0.1825364083,
288,0.1873063445,
287,0.1918244064,
286,0.1953301579,
285,0.2001525462,
284,0.2032396793,
283,0.207747817,
282,0.2110470235,
281,0.215343371,
280,0.2189783007,
279,0.2228351533,
278,0.2257779986,
277,0.2298904657,
276,0.2343995571,
275,0.2376516908,
274,0.2419431806,
273,0.2463289946,
272,0.2505821288,
271,0.2551482022,
270,0.2594693005,
269,0.2649122775,
268,0.2707312703,
267,0.2765925825,
266,0.2831483483,
265,0.2906596959,
264,0.2973472774,
263,0.3038247228,
262,0.3120335639,
261,0.3194963932,
260,0.3267385364,
259,0.3346612751,
258,0.341727227,
257,0.35000211,
256,0.3574202061,
255,0.3657026589,
254,0.3741061091,
253,0.3828213513,
252,0.3901725709,
251,0.3981060386,
250,0.4051153958,
249,0.4123058021,
248,0.4178899527,
247,0.4234112203,
246,0.4289150834,
245,0.433878243,
244,0.4385951161,
243,0.4437254667,
242,0.4475102425,
241,0.4517896771,
240,0.4551284909,
239,0.458024025,
238,0.4611347318,
237,0.4645377994,
236,0.4680095911,
235,0.4722603261,
234,0.4772641063,
233,0.4839842319,
232,0.492547363,
231,0.5026113391,
230,0.5159125924,
229,0.5339704156,
228,0.5569696426,
227,0.587015152,
226,0.6251490116,
225,0.6748791337,
224,0.7392272949,
223,0.8208663464,
222,0.924053669,
221,1.053848267,
220,1.218795538,

blank x33 from freshly filled tube,
blank x33 from freshly filled tube
Collection Time: 5/09/2024 1:13:25 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
Date/Time stamp: 5/09/2024 12:56:21 PM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

