blank x33 stored in eppendorf tubes for 5 days,,
Wavelength (nm),Abs,
349,0.1117077693,
348,0.09654762596,
347,0.09653618187,
346,0.09945033491,
345,0.09825374931,
344,0.09778068215,
343,0.09871827811,
342,0.09887339175,
341,0.09958581626,
340,0.1000896394,
339,0.101947397,
338,0.1008817703,
337,0.1010352746,
336,0.1011433154,
335,0.1029723212,
334,0.1024130732,
333,0.1042256877,
332,0.1052199975,
331,0.1041552126,
330,0.1057553068,
329,0.1060866565,
328,0.1071377099,
327,0.1082195118,
326,0.106954217,
325,0.109208867,
324,0.1104822606,
323,0.1112720221,
322,0.1129100844,
321,0.1139335185,
320,0.113727048,
319,0.1161541641,
318,0.1156083196,
317,0.1180132851,
316,0.1194651499,
315,0.120867312,
314,0.1217894405,
313,0.1249236166,
312,0.1260366142,
311,0.1261283904,
310,0.1277416199,
309,0.1307579577,
308,0.1256628036,
307,0.1282212287,
306,0.1299042255,
305,0.1330975592,
304,0.1353254616,
303,0.1381570995,
302,0.1401638091,
301,0.1438802779,
300,0.1464601457,
299,0.1497689784,
298,0.1528574377,
297,0.1559294164,
296,0.1591176987,
295,0.1627755314,
294,0.1656003445,
293,0.1702502072,
292,0.1744630933,
291,0.1788527519,
290,0.1833174229,
289,0.18529661,
288,0.1903685927,
287,0.1943958104,
286,0.1977681071,
285,0.2024789304,
284,0.2059353292,
283,0.2098141164,
282,0.2139406949,
281,0.2180692703,
280,0.2212904245,
279,0.2253729105,
278,0.2283393145,
277,0.2328029573,
276,0.236468941,
275,0.2409173548,
274,0.2446306348,
273,0.2491090745,
272,0.2531812191,
271,0.2579613924,
270,0.2628890872,
269,0.2677192688,
268,0.2729711235,
267,0.2792906463,
266,0.2851612568,
265,0.2922764719,
264,0.2988926172,
263,0.3064929545,
262,0.313657999,
261,0.321472168,
260,0.3292160928,
259,0.3365537226,
258,0.3436816037,
257,0.3520710766,
256,0.3590715826,
255,0.368683815,
254,0.3766028583,
253,0.3852857053,
252,0.3934244514,
251,0.4016065001,
250,0.4086596966,
249,0.4156586826,
248,0.4221189022,
247,0.4273535013,
246,0.4327106178,
245,0.4377269149,
244,0.4433574378,
243,0.4482201934,
242,0.4536416233,
241,0.4593117833,
240,0.4643847942,
239,0.4697746933,
238,0.4755268693,
237,0.4829560518,
236,0.4920859635,
235,0.5021454692,
234,0.5155956149,
233,0.5320435166,
232,0.5535631776,
231,0.5791833401,
230,0.6114120483,
229,0.6520139575,
228,0.7014334798,
227,0.7615532279,
226,0.8354203701,
225,0.925001502,
224,1.033515573,
223,1.162774682,
222,1.316179395,
221,1.496400952,
220,1.710533381,

blank x33 stored in eppendorf tubes for 5 days,
blank x33 stored in eppendorf tubes for 5 days
Collection Time: 5/09/2024 1:06:48 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
Date/Time stamp: 5/09/2024 12:56:21 PM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

