x31 tx,,
Wavelength (nm),Abs,
349,0.1155301929,
348,0.1002779827,
347,0.09899266809,
346,0.1024414524,
345,0.1022553742,
344,0.1010560244,
343,0.1022273675,
342,0.1036961079,
341,0.1030164957,
340,0.104211539,
339,0.1050257459,
338,0.1043325886,
337,0.1061447933,
336,0.1061441302,
335,0.1076041758,
334,0.1066585705,
333,0.1086591482,
332,0.1096521392,
331,0.1094313487,
330,0.1111948714,
329,0.1116834953,
328,0.1121434122,
327,0.1130499691,
326,0.11388392,
325,0.1149379835,
324,0.1161314994,
323,0.1160615981,
322,0.1168271303,
321,0.1191963926,
320,0.1197509244,
319,0.1212431118,
318,0.1222291142,
317,0.1237595901,
316,0.1247045174,
315,0.1267568022,
314,0.1292786151,
313,0.1314585805,
312,0.1331508905,
311,0.1355442703,
310,0.1382588297,
309,0.1434036344,
308,0.1428213865,
307,0.14793019,
306,0.1550635993,
305,0.1639361084,
304,0.1764831692,
303,0.1914755255,
302,0.2093326002,
301,0.23188667,
300,0.2555397749,
299,0.2832010984,
298,0.3100944757,
297,0.3371548653,
296,0.3610669672,
295,0.3867707849,
294,0.4115049839,
293,0.4364193082,
292,0.4622748196,
291,0.4880876541,
290,0.5115655661,
289,0.5333240628,
288,0.5536866784,
287,0.5739319324,
286,0.5918217301,
285,0.6120595932,
284,0.6309021711,
283,0.6503863931,
282,0.6682779789,
281,0.6871421933,
280,0.7065843344,
279,0.7263561487,
278,0.7457095385,
277,0.7676635385,
276,0.7881943583,
275,0.8082883358,
274,0.8278447986,
273,0.8477342725,
272,0.8651416302,
271,0.8823080063,
270,0.899443984,
269,0.9152064919,
268,0.9278863072,
267,0.9416669011,
266,0.9524559379,
265,0.9622532129,
264,0.9698165059,
263,0.9757192731,
262,0.9779031873,
261,0.9807339311,
260,0.9800922871,
259,0.9778775573,
258,0.9741282463,
257,0.9690346122,
256,0.9623291492,
255,0.9556635022,
254,0.947696507,
253,0.9406322837,
252,0.9327461123,
251,0.9250420928,
250,0.9168367982,
249,0.9102740884,
248,0.9030221105,
247,0.8957043886,
246,0.8916406035,
245,0.8878389597,
244,0.8870227337,
243,0.8878617287,
242,0.8913062811,
241,0.895347476,
240,0.9038583636,
239,0.9144588113,
238,0.9271710515,
237,0.9454334974,
236,0.9660968781,
235,0.9931179285,
234,1.024081826,
233,1.059207797,
232,1.099414706,
231,1.145000339,
230,1.194214344,
229,1.251903772,
228,1.31481266,
227,1.386031151,
226,1.466714859,
225,1.555412889,
224,1.660621524,
223,1.781850696,
222,1.919541955,
221,2.08024025,
220,2.270507574,

x31 tx,
x31 tx
Collection Time: 1/09/2024 10:20:05 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

