x32 t0,,
Wavelength (nm),Abs,
349,0.1127498448,
348,0.09695997089,
347,0.09762235731,
346,0.0995459035,
345,0.09878791124,
344,0.09818923473,
343,0.09828939289,
342,0.09979778528,
341,0.09883331507,
340,0.1006983593,
339,0.1004781872,
338,0.1006514579,
337,0.1023858413,
336,0.1013239473,
335,0.1031502038,
334,0.1044161692,
333,0.1044491902,
332,0.105546914,
331,0.1055585295,
330,0.1060435325,
329,0.1070093885,
328,0.1088183224,
327,0.1088267341,
326,0.1088566035,
325,0.109887287,
324,0.1110557541,
323,0.1122970581,
322,0.1134053171,
321,0.114710778,
320,0.1146536395,
319,0.1168390512,
318,0.11725346,
317,0.1191925406,
316,0.1211307421,
315,0.1221090406,
314,0.1235749647,
313,0.1273181289,
312,0.1273537725,
311,0.1286378056,
310,0.1298243552,
309,0.1334291548,
308,0.1303687692,
307,0.1320827454,
306,0.135099709,
305,0.1380352825,
304,0.1409837157,
303,0.1453246027,
302,0.1490393132,
301,0.1537853479,
300,0.1580081284,
299,0.1641246676,
298,0.1697254181,
297,0.1750127971,
296,0.1804290712,
295,0.1867791563,
294,0.1933460981,
293,0.2013877928,
292,0.2108284086,
291,0.221283108,
290,0.233055979,
289,0.2447258085,
288,0.2602464259,
287,0.2795825601,
286,0.2992070913,
285,0.3261619508,
284,0.3540869951,
283,0.387232393,
282,0.424113363,
281,0.4651882648,
280,0.5084044933,
279,0.5544705391,
278,0.6009227633,
277,0.648475647,
276,0.6965500712,
275,0.7432079911,
274,0.7890994549,
273,0.8351988792,
272,0.8780869246,
271,0.9191776514,
270,0.958326757,
269,0.9948611259,
268,1.029744506,
267,1.057951331,
266,1.08402884,
265,1.105627537,
264,1.12240088,
263,1.135836601,
262,1.145695925,
261,1.151771545,
260,1.154325724,
259,1.153867483,
258,1.150711536,
257,1.142790914,
256,1.136258721,
255,1.125732541,
254,1.116498947,
253,1.105454564,
252,1.093451142,
251,1.083863139,
250,1.073192835,
249,1.062291741,
248,1.053445101,
247,1.045204282,
246,1.040620327,
245,1.03586483,
244,1.034481645,
243,1.036111712,
242,1.039563298,
241,1.045938134,
240,1.054160237,
239,1.065259933,
238,1.079410195,
237,1.097044349,
236,1.11776197,
235,1.141942024,
234,1.168719292,
233,1.201079965,
232,1.236954451,
231,1.276119471,
230,1.321305871,
229,1.371018887,
228,1.427502155,
227,1.489882827,
226,1.560871243,
225,1.643891096,
224,1.739421487,
223,1.849190354,
222,1.982471228,
221,2.139424562,
220,2.322835207,

x32 t0,
x32 t0
Collection Time: 1/09/2024 10:54:49 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

