air,,
Wavelength (nm),Abs,
349,0.01624588855,
348,-0.000652043731,
347,-0.001442401437,
346,0.000361518556,
345,0.0002245152573,
344,-0.0005582602462,
343,-0.0010370987,
342,-0.0007961951196,
341,-0.0007305085892,
340,-0.0005267704837,
339,-0.0001648105681,
338,-0.001354775392,
337,-0.000864196918,
336,-0.001293147798,
335,-0.0002110746573,
334,-1.190752869E-6,
333,-0.001326698228,
332,-0.000195809087,
331,-0.0004919688217,
330,0.00017870171,
329,-0.0004030645068,
328,-0.0003326108272,
327,-3.711889076E-5,
326,-0.0006109448732,
325,-0.0004279947316,
324,0.0003079969028,
323,-0.001169298543,
322,-2.981961188E-5,
321,0.0005174062098,
320,-0.0003380944254,
319,-0.0004408730601,
318,-0.0002676302101,
317,-0.0001346896897,
316,-0.0007693222142,
315,-9.54569623E-5,
314,-0.0009858087869,
313,0.001206095563,
312,-1.050957599E-5,
311,-0.0006124441279,
310,-0.001337795169,
309,-0.0007322658785,
308,-0.001973301638,
307,-0.001012255088,
306,-0.001250302768,
305,-0.001119108638,
304,-0.00123171811,
303,-0.0009686074336,
302,-0.001814589486,
301,-0.00137619325,
300,-0.001281843404,
299,-0.0008014144842,
298,-0.0009278484504,
297,-0.0006663628155,
296,-0.00132313685,
295,-0.001105114352,
294,-0.001351162675,
293,-0.001660615788,
292,-0.0005731511628,
291,-0.000802964787,
290,2.707756721E-5,
289,-0.001985000446,
288,-0.001432648976,
287,-0.0007536627818,
286,-0.0009118847665,
285,-0.001179573359,
284,-0.0008636285202,
283,-0.001000633347,
282,-0.0009778022068,
281,-0.000831592537,
280,-0.001362671726,
279,-0.0006951546529,
278,-0.001380528323,
277,-0.0005780629581,
276,-0.0008931822376,
275,-0.0009941250319,
274,-0.001407879521,
273,-0.0009486675262,
272,-0.001237396849,
271,-0.00161770382,
270,-0.001471038675,
269,-0.001243178733,
268,-0.001868513878,
267,-0.001493328018,
266,-0.001283443533,
265,-0.0009287266876,
264,-0.001546982676,
263,-0.00207605469,
262,-0.001722861663,
261,-0.001131140278,
260,-0.001832788461,
259,-0.00139275915,
258,-0.001909648534,
257,-0.0009626668761,
256,-0.001510560163,
255,-0.001677274005,
254,-0.001394926687,
253,-0.001204510685,
252,-0.001056311419,
251,-0.001204097643,
250,-0.001441524248,
249,-0.0007109195576,
248,-0.0005302350037,
247,-0.001112137339,
246,-0.0007413105923,
245,-0.0007337130373,
244,-0.0006984627107,
243,-0.001300167874,
242,-0.000700685312,
241,-0.0002809789439,
240,-0.0008707071538,
239,-0.0008507627645,
238,-0.0005495736259,
237,-0.0004951233277,
236,-0.001137749874,
235,-0.0007790896925,
234,-0.0007074048044,
233,-0.000754644745,
232,-0.0005626551574,
231,-0.001110433252,
230,-0.001060907962,
229,-0.0003749257885,
228,-0.0005994157982,
227,-0.0008154702955,
226,-0.0002761672367,
225,-0.0006432556547,
224,-0.0004475447931,
223,-0.0006451683585,
222,8.071994671E-5,
221,-0.001171363867,
220,-0.0008640935412,

air,
air
Collection Time: 1/10/2024 3:11:04 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

