Wavelength	Abs
349	0,9480733275
348	0,9350810647
347	0,9329015017
346	0,9385226965
345	0,9373982549
344	0,9378390908
343	0,9369480014
342	0,9390956759
341	0,9410415292
340	0,9428811669
339	0,9432567358
338	0,9437874556
337	0,9457625747
336	0,9481754303
335	0,9508596063
334	0,9505391121
333	0,9527041316
332	0,9553878307
331	0,9554955363
330	0,9582431316
329	0,9586085677
328	0,9613457322
327	0,9639047384
326	0,9636365175
325	0,9661309719
324	0,9660697579
323	0,9680325389
322	0,9698864818
321	0,9707843661
320	0,9720060229
319	0,9749009609
318	0,9754665494
317	0,977919817
316	0,9797907472
315	0,9813016057
314	0,9837195873
313	0,9863231778
312	0,9872190356
311	0,9900266528
310	0,9888162017
309	0,9930366278
308	0,9603982568
307	0,9622484446
306	0,9640154839
305	0,9659183025
304	0,9674823284
303	0,9688033462
302	0,9696239233
301	0,9716010094
300	0,9751989245
299	0,9784255028
298	0,9792798758
297	0,9828078151
296	0,98433882
295	0,9869889021
294	0,9906547666
293	0,9930711985
292	0,9968363047
291	1,000182986
290	1,002940297
289	1,004778624
288	1,008154154
287	1,012606859
286	1,014201403
285	1,019144058
284	1,020927191
283	1,02353549
282	1,026868701
281	1,030432463
280	1,035216808
279	1,038763642
278	1,041227102
277	1,045936346
276	1,049521327
275	1,05427289
274	1,057303548
273	1,061749101
272	1,06697309
271	1,071429729
270	1,076522589
269	1,081744432
268	1,0887115
267	1,094828963
266	1,100398779
265	1,107985854
264	1,1120193
263	1,119217992
262	1,12639904
261	1,132221937
260	1,138009071
259	1,144386172
258	1,149498463
257	1,155726194
256	1,161867619
255	1,169201255
254	1,174833655
253	1,183245301
252	1,189239144
251	1,195312977
250	1,202685475
249	1,2088238
248	1,213838696
247	1,219963312
246	1,226867557
245	1,232313156
244	1,239750504
243	1,246657014
242	1,252568841
241	1,25921905
240	1,265281677
239	1,272270083
238	1,280336022
237	1,288341284
236	1,297086716
235	1,305492282
234	1,316202402
233	1,328899384
232	1,340893388
231	1,356481314
230	1,372957349
229	1,393731713
228	1,41912961
227	1,448906541
226	1,488742352
225	1,53493464
224	1,593291402
223	1,665845275
222	1,75258553
221	1,858450294
220	1,981463432
