cuvette empty,,
Wavelength (nm),Abs,
349,0.2041088045,
348,0.1880201101,
347,0.188144654,
346,0.1897815317,
345,0.1904309541,
344,0.1905597448,
343,0.1917903125,
342,0.1914972514,
341,0.1910607219,
340,0.1926000118,
339,0.1931015253,
338,0.1918434501,
337,0.1936058402,
336,0.1952660233,
335,0.1954134107,
334,0.1958015859,
333,0.1961098462,
332,0.1976846457,
331,0.1985844672,
330,0.1988853365,
329,0.1997712851,
328,0.2010536343,
327,0.2009606212,
326,0.2011817992,
325,0.2027185708,
324,0.203282997,
323,0.2037034035,
322,0.2050047368,
321,0.2065625191,
320,0.207120344,
319,0.2087819874,
318,0.2097035199,
317,0.2112184614,
316,0.2116506249,
315,0.213423565,
314,0.2147833854,
313,0.2174514681,
312,0.2182763964,
311,0.2195216119,
310,0.2212072313,
309,0.2229010165,
308,0.2171494514,
307,0.2194333971,
306,0.2204623371,
305,0.2227712125,
304,0.2246540636,
303,0.2270087898,
302,0.228461653,
301,0.231532678,
300,0.2341611534,
299,0.2364401072,
298,0.2388884574,
297,0.2415254563,
296,0.2439286411,
295,0.2468718737,
294,0.2496040612,
293,0.2525329888,
292,0.2561671436,
291,0.2606268525,
290,0.2635157108,
289,0.2661679983,
288,0.2695683539,
287,0.2744593322,
286,0.2780834734,
285,0.2817189097,
284,0.2843079269,
283,0.2882415354,
282,0.2912531495,
281,0.2950793803,
280,0.2982352376,
279,0.3021719754,
278,0.3051370382,
277,0.3092884719,
276,0.3126422167,
275,0.3171095848,
274,0.3203556538,
273,0.3255589306,
272,0.329709053,
271,0.3354685605,
270,0.3396692276,
269,0.3454622328,
268,0.3511306047,
267,0.3570534587,
266,0.3639965951,
265,0.3725009263,
264,0.378921777,
263,0.3868651092,
262,0.395126462,
261,0.4030878544,
260,0.4105564058,
259,0.4187661409,
258,0.4264085293,
257,0.4341789484,
256,0.4423425198,
255,0.4507415593,
254,0.4595670998,
253,0.468459785,
252,0.4773258865,
251,0.4848334491,
250,0.4932401478,
249,0.5003904104,
248,0.5061579347,
247,0.5112877488,
246,0.5162789822,
245,0.5211395621,
244,0.5261216164,
243,0.5301476121,
242,0.5341605544,
241,0.537212491,
240,0.5396815538,
239,0.5412302017,
238,0.5429615378,
237,0.5446560979,
236,0.5462209582,
235,0.5484166741,
234,0.5507121682,
233,0.5538087487,
232,0.5578445792,
231,0.5634149909,
230,0.5708199143,
229,0.5808615685,
228,0.5944116712,
227,0.6117067337,
226,0.6349977255,
225,0.6646602154,
224,0.7031941414,
223,0.7509358525,
222,0.8096499443,
221,0.8794142604,
220,0.9620987177,

cuvette empty,
cuvette empty
Collection Time: 1/10/2024 7:36:39 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

