new cuvette with water,,
Wavelength (nm),Abs,
349,0.1081453562,
348,0.09176345915,
347,0.09160751104,
346,0.09401018918,
345,0.09333910048,
344,0.09412936121,
343,0.0938417688,
342,0.09484678507,
341,0.0960906148,
340,0.09459103644,
339,0.09673133492,
338,0.09672702849,
337,0.09667405486,
336,0.0980322212,
335,0.09775221348,
334,0.09793558717,
333,0.09957282245,
332,0.1002771705,
331,0.09976957738,
330,0.1005466729,
329,0.1015504077,
328,0.1034594029,
327,0.1032437012,
326,0.103593871,
325,0.105505459,
324,0.1056474969,
323,0.1055083647,
322,0.1075312868,
321,0.1086665615,
320,0.1093150973,
319,0.1095967665,
318,0.1101637185,
317,0.1126177087,
316,0.1128671467,
315,0.1140860543,
314,0.1151373684,
313,0.1176865622,
312,0.1175028011,
311,0.1179505512,
310,0.1200542226,
309,0.1214229912,
308,0.1172919869,
307,0.1186719313,
306,0.1200190708,
305,0.121722661,
304,0.123182632,
303,0.1255502105,
302,0.1266925484,
301,0.1290153861,
300,0.1304238886,
299,0.1330389827,
298,0.1352694035,
297,0.1376360804,
296,0.1399833411,
295,0.1420112699,
294,0.1437473446,
293,0.1463889182,
292,0.1511284113,
291,0.1544559896,
290,0.1568945795,
289,0.159230113,
288,0.1627122313,
287,0.1665801257,
286,0.1682311445,
285,0.1724814922,
284,0.1752208322,
283,0.1787161231,
282,0.1809544414,
281,0.1848275959,
280,0.1877147853,
279,0.1911176294,
278,0.1934452951,
277,0.1982053369,
276,0.2010857165,
275,0.2053166926,
274,0.2084207237,
273,0.2129248828,
272,0.2173391581,
271,0.2217036188,
270,0.2266482264,
269,0.231725812,
268,0.2370316982,
267,0.2430197299,
266,0.2492560595,
265,0.2575565577,
264,0.2642284632,
263,0.2708764374,
262,0.2796571255,
261,0.2874569297,
260,0.295104295,
259,0.3027824461,
258,0.3106770515,
257,0.3184083402,
256,0.3267010152,
255,0.3344347477,
254,0.3436574638,
253,0.3525141776,
252,0.3605667353,
251,0.3689896762,
250,0.3770073652,
249,0.3840574622,
248,0.3895029426,
247,0.3950606883,
246,0.3996058106,
245,0.4045337439,
244,0.4084893167,
243,0.4125133455,
242,0.4162866175,
241,0.4192206562,
240,0.4212853014,
239,0.4227967858,
238,0.4240974188,
237,0.4256370366,
236,0.4266321063,
235,0.428170085,
234,0.4304843545,
233,0.4330869019,
232,0.4364810884,
231,0.4407374263,
230,0.4477790594,
229,0.456594348,
228,0.4689378142,
227,0.4844157994,
226,0.5071520209,
225,0.5355122685,
224,0.5708194971,
223,0.6161168218,
222,0.6720502377,
221,0.7387912869,
220,0.8201541901,

new cuvette with water,
new cuvette with water
Collection Time: 1/10/2024 3:11:39 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

