Wavelength	Abs
349	0,1100724563
348	0,09349355847
347	0,09271903336
346	0,09502369165
345	0,09521058947
344	0,09402674437
343	0,09526070952
342	0,0953964442
341	0,09625852853
340	0,09628488868
339	0,0982651487
338	0,09776365757
337	0,09837607294
336	0,09853755683
335	0,09959502518
334	0,09891343862
333	0,1003217474
332	0,1013444439
331	0,1025516763
330	0,1023175269
329	0,1036443785
328	0,1048449501
327	0,1040954962
326	0,1041719541
325	0,1052907854
324	0,1057359576
323	0,106827639
322	0,1077131331
321	0,1092536375
320	0,1095977649
319	0,1105039939
318	0,1105513722
317	0,1134862229
316	0,1133188456
315	0,1145182624
314	0,1159185469
313	0,1185247153
312	0,1194250062
311	0,1194758564
310	0,1208171546
309	0,1223690063
308	0,1179222241
307	0,1192925572
306	0,1210306808
305	0,1231961399
304	0,1244175658
303	0,1266562343
302	0,1282921433
301	0,1304219961
300	0,1323116124
299	0,1352310181
298	0,1379229724
297	0,1391361207
296	0,1420902163
295	0,1448080987
294	0,1472858489
293	0,150387302
292	0,1535184532
291	0,1580213755
290	0,1615398228
289	0,1637370288
288	0,1668562442
287	0,1705098003
286	0,1733922958
285	0,177255854
284	0,1804634184
283	0,1844043732
282	0,1869429201
281	0,1901542842
280	0,1931535006
279	0,1976064593
278	0,1997317076
277	0,2039385289
276	0,2071984559
275	0,2111364156
274	0,2151385993
273	0,2190587521
272	0,2231441885
271	0,2284383029
270	0,2332546711
269	0,2383439541
268	0,2435977608
267	0,2491251528
266	0,2552925646
265	0,2634738386
264	0,2699756324
263	0,276830405
262	0,2850800455
261	0,292933315
260	0,3004014194
259	0,3085956872
258	0,316215843
257	0,3241279125
256	0,3314912617
255	0,3400103748
254	0,348770082
253	0,3579156101
252	0,3653466105
251	0,3735564351
250	0,3816081583
249	0,3886118531
248	0,3944453001
247	0,3998858929
246	0,4047104716
245	0,4092748761
244	0,413984865
243	0,4171526134
242	0,4213686287
241	0,4240213633
240	0,4267604053
239	0,4286847413
238	0,4306409359
237	0,4313823581
236	0,432733804
235	0,4343644083
234	0,4366524816
233	0,4395905733
232	0,4437192976
231	0,4486213923
230	0,4556593895
229	0,4647780359
228	0,4776258767
227	0,4937985539
226	0,51639992
225	0,5446321964
224	0,5819036365
223	0,6269384027
222	0,6835624576
221	0,7511498928
220	0,8325781822
