x33 naoh,,
Wavelength (nm),Abs,
349,0.1088127643,
348,0.0925436765,
347,0.09115234762,
346,0.09394963831,
345,0.09438580275,
344,0.09404828399,
343,0.09494698793,
342,0.09505039454,
341,0.09522145241,
340,0.09476590157,
339,0.09626249969,
338,0.09639107436,
337,0.09735353291,
336,0.09809376299,
335,0.09873276949,
334,0.09914042801,
333,0.09951673448,
332,0.1009108052,
331,0.1008368433,
330,0.1022936702,
329,0.1020915881,
328,0.1029735357,
327,0.1031166241,
326,0.1036568061,
325,0.1047840565,
324,0.1054577008,
323,0.1059790999,
322,0.1073602587,
321,0.1079942286,
320,0.1081504375,
319,0.1093477979,
318,0.1108528525,
317,0.1118915379,
316,0.1133175045,
315,0.1133976877,
314,0.1154915914,
313,0.1171475798,
312,0.1178939342,
311,0.1173865125,
310,0.1203953996,
309,0.1213120073,
308,0.1167575866,
307,0.1193585545,
306,0.1196505278,
305,0.1225234047,
304,0.1236036569,
303,0.1256401986,
302,0.127792269,
301,0.1302635521,
300,0.1311536878,
299,0.1350481957,
298,0.1372884959,
297,0.1394857764,
296,0.1414514333,
295,0.1444344819,
294,0.147133261,
293,0.1498744637,
292,0.1535267979,
291,0.1567477882,
290,0.16070804,
289,0.1622660309,
288,0.166825518,
287,0.170716092,
286,0.1737595797,
285,0.177042231,
284,0.1801405847,
283,0.1836937964,
282,0.1866652071,
281,0.1905206591,
280,0.1931573749,
279,0.197054401,
278,0.1999647021,
277,0.2045432627,
276,0.207415089,
275,0.2116914541,
274,0.2156061083,
273,0.2194396555,
272,0.2234888524,
271,0.2288698405,
270,0.233583793,
269,0.2390217036,
268,0.2439620048,
267,0.2500644326,
266,0.2571029067,
265,0.2644649446,
264,0.2710376382,
263,0.2782817185,
262,0.2862921059,
261,0.2943159938,
260,0.3015642762,
259,0.3098873794,
258,0.3172127604,
257,0.3250203729,
256,0.3330888748,
255,0.3418030143,
254,0.3500169516,
253,0.3591917455,
252,0.367087245,
251,0.375469774,
250,0.3831991553,
249,0.3903951049,
248,0.3960036039,
247,0.4012681544,
246,0.4068163037,
245,0.4112331271,
244,0.4155226052,
243,0.4194223881,
242,0.4235382974,
241,0.4268799126,
240,0.4290377796,
239,0.4311902821,
238,0.4335180223,
237,0.435814023,
236,0.4380699396,
235,0.4403238595,
234,0.4435741901,
233,0.447891891,
232,0.4542208612,
231,0.4608307779,
230,0.4720377922,
229,0.4854176342,
228,0.5041972399,
227,0.5282227397,
226,0.5607067943,
225,0.6034624577,
224,0.6585456133,
223,0.7296391129,
222,0.8206618428,
221,0.9345943928,
220,1.080016375,

x33 naoh,
x33 naoh
Collection Time: 1/10/2024 8:35:01 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

