x50 t12 again,,
Wavelength (nm),Abs,
349,0.1160366759,
348,0.09973889589,
347,0.09894838184,
346,0.1008334458,
345,0.1010606289,
344,0.1009291261,
343,0.1015791222,
342,0.1025659069,
341,0.1027829051,
340,0.1032765061,
339,0.1037727967,
338,0.1044275612,
337,0.1056872159,
336,0.1056456491,
335,0.1072018519,
334,0.1067873836,
333,0.1083529741,
332,0.1092802063,
331,0.1098322794,
330,0.1109702513,
329,0.1106849536,
328,0.1126819551,
327,0.1130706891,
326,0.1124346703,
325,0.1151056141,
324,0.115253292,
323,0.1153229028,
322,0.1174432635,
321,0.1179809496,
320,0.1182387248,
319,0.1206579655,
318,0.1209759191,
317,0.1231639013,
316,0.1238457933,
315,0.1258178204,
314,0.1273113489,
313,0.1311670989,
312,0.131503433,
311,0.133303985,
310,0.1358377486,
309,0.1409189999,
308,0.140894115,
307,0.1457346678,
306,0.1530432403,
305,0.1628682464,
304,0.1748391092,
303,0.1914325655,
302,0.2091305256,
301,0.2329726666,
300,0.2589633167,
299,0.2883628607,
298,0.3164865673,
297,0.3455812037,
296,0.3720655441,
295,0.3993509114,
294,0.4248563945,
293,0.4522351027,
292,0.4790420532,
291,0.505068779,
290,0.5306876898,
289,0.5532448888,
288,0.5732549429,
287,0.5935698748,
286,0.6109413505,
285,0.6291954517,
284,0.64519912,
283,0.6620459557,
282,0.6781104207,
281,0.6942304373,
280,0.7090140581,
279,0.7257016301,
278,0.7401260734,
277,0.75626266,
276,0.7725064158,
275,0.7885302305,
274,0.8028905988,
273,0.8177454472,
272,0.8319151402,
271,0.8454401493,
270,0.8571652174,
269,0.8697208762,
268,0.8798075318,
267,0.8899294734,
266,0.8972872496,
265,0.9052047729,
264,0.9110100865,
263,0.9144361019,
262,0.9165624976,
261,0.9186086655,
260,0.9168454409,
259,0.9135028124,
258,0.9097488523,
257,0.905351162,
256,0.89839077,
255,0.8924046755,
254,0.8847528696,
253,0.8778755665,
252,0.8721234798,
251,0.8641294837,
250,0.8565889597,
249,0.8497835994,
248,0.8430346251,
247,0.8347613811,
246,0.8299024701,
245,0.8260761499,
244,0.8235734105,
243,0.8229650259,
242,0.8250017166,
241,0.8286057115,
240,0.8350774646,
239,0.8435287476,
238,0.8564677835,
237,0.8723489046,
236,0.892357111,
235,0.9169389606,
234,0.9472395182,
233,0.9820758104,
232,1.021353841,
231,1.067509294,
230,1.118748546,
229,1.175950289,
228,1.239809155,
227,1.311935663,
226,1.393822193,
225,1.485997915,
224,1.590069294,
223,1.713732362,
222,1.851785064,
221,2.013393164,
220,2.200971127,

x50 t12 again,
x50 t12 again
Collection Time: 1/10/2024 3:22:15 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

