x51 t7,,
Wavelength (nm),Abs,
349,0.1122310907,
348,0.09717250615,
347,0.09761490673,
346,0.09927883744,
345,0.09942113608,
344,0.09882275015,
343,0.09894546121,
342,0.1005853042,
341,0.09926904738,
340,0.1007286534,
339,0.1021663472,
338,0.1015606746,
337,0.1021232158,
336,0.1032711491,
335,0.1032051221,
334,0.1039877385,
333,0.105096072,
332,0.1056898907,
331,0.1057575494,
330,0.1072386652,
329,0.1089569256,
328,0.1086572185,
327,0.1101874709,
326,0.1095514596,
325,0.1115932837,
324,0.1124910414,
323,0.1129154265,
322,0.1143032983,
321,0.1159109697,
320,0.1160906106,
319,0.1176937968,
318,0.1177501753,
317,0.1202789843,
316,0.1214876622,
315,0.1226603761,
314,0.1234589964,
313,0.1263358891,
312,0.1282052696,
311,0.1302177012,
310,0.1323990375,
309,0.1365883797,
308,0.1344177425,
307,0.1400275677,
306,0.1473614424,
305,0.1562499404,
304,0.167746976,
303,0.1815810353,
302,0.1995631903,
301,0.2211664766,
300,0.2453830242,
299,0.2736223638,
298,0.3003199995,
297,0.3275902271,
296,0.3526975811,
295,0.3772078454,
294,0.4017389417,
293,0.4262095392,
292,0.4521593451,
291,0.4769780338,
290,0.5009374619,
289,0.5212465525,
288,0.5409839749,
287,0.5601069927,
286,0.5773187876,
285,0.5948261023,
284,0.6115171313,
283,0.628618896,
282,0.6445686817,
281,0.6607581377,
280,0.6756124496,
279,0.6921661496,
278,0.7076764107,
277,0.7253946066,
276,0.7414516807,
275,0.7565630078,
274,0.7725937366,
273,0.7878709435,
272,0.8024084568,
271,0.8157522678,
270,0.8302003741,
269,0.8418436646,
268,0.8525265455,
267,0.8621811867,
266,0.8708410859,
265,0.8803597689,
264,0.8848534226,
263,0.889119029,
262,0.8917607069,
261,0.8935490847,
260,0.8926277161,
259,0.8901283741,
258,0.8864170909,
257,0.8819273114,
256,0.8755327463,
255,0.8701760173,
254,0.863304019,
253,0.8571522832,
252,0.8497604728,
251,0.843341589,
250,0.8366498947,
249,0.8303688169,
248,0.8223486543,
247,0.8161932826,
246,0.8109380007,
245,0.807041347,
244,0.8049999475,
243,0.8043218851,
242,0.8064309359,
241,0.8097906709,
240,0.8157202601,
239,0.8248116374,
238,0.8353881836,
237,0.8518496156,
236,0.870097816,
235,0.8927670121,
234,0.9202049971,
233,0.9535880685,
232,0.9914385676,
231,1.033728361,
230,1.080913544,
229,1.135207653,
228,1.196883798,
227,1.266223192,
226,1.342297196,
225,1.43142724,
224,1.532860994,
223,1.650971889,
222,1.78585732,
221,1.94120717,
220,2.127170563,

x51 t7,
x51 t7
Collection Time: 1/10/2024 1:36:03 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

