Wavelength	Abs
349	0,114594087
348	0,0973046869
347	0,09748868644
346	0,1004581228
345	0,1002952307
344	0,09997081012
343	0,09965711832
342	0,100902833
341	0,1001706496
340	0,1011279598
339	0,1027095094
338	0,1020881459
337	0,1041427106
336	0,1036931872
335	0,104189232
334	0,1047672555
333	0,1060651764
332	0,1068147272
331	0,1065237075
330	0,1079256237
329	0,1086400971
328	0,1093960479
327	0,1098041758
326	0,1099789068
325	0,1107637137
324	0,1127628312
323	0,1134204417
322	0,1138551161
321	0,115312472
320	0,1158630699
319	0,1165396199
318	0,1182417497
317	0,1194837615
316	0,1204056814
315	0,122935921
314	0,1230945736
313	0,1270433813
312	0,1284778565
311	0,1292366385
310	0,1309970766
309	0,1351667047
308	0,1337925047
307	0,1381542087
306	0,1434812844
305	0,1526645422
304	0,1611471623
303	0,1732955724
302	0,1888026595
301	0,2067122459
300	0,2264807075
299	0,2490271777
298	0,2714138627
297	0,2936117947
296	0,3146685958
295	0,3359825015
294	0,3558669686
293	0,3771154881
292	0,399392575
291	0,4203322232
290	0,4418323934
289	0,4596557915
288	0,4788559377
287	0,4973996282
286	0,5156372786
285	0,5346351266
284	0,5536366105
283	0,5735526085
282	0,5937156081
281	0,614561677
280	0,6352219582
279	0,657823205
278	0,6791138649
277	0,7023246884
276	0,725165844
275	0,7473514676
274	0,7695965171
273	0,7900290489
272	0,8113334775
271	0,8309900761
270	0,8495329618
269	0,8662362099
268	0,8819026351
267	0,8960570693
266	0,9081731439
265	0,9195674062
264	0,92717731
263	0,9337748885
262	0,9390656948
261	0,9402505159
260	0,940286994
259	0,9377618432
258	0,9345747828
257	0,9295483232
256	0,9238297343
255	0,9181380868
254	0,9103921056
253	0,9037111402
252	0,8958904743
251	0,8877777457
250	0,8806087971
249	0,8730390668
248	0,8655827045
247	0,8590227962
246	0,8545364738
245	0,8504974842
244	0,8484485745
243	0,8484125137
242	0,8498100638
241	0,8544867039
240	0,8599565029
239	0,8687325716
238	0,8800141215
237	0,8956813216
236	0,9146493077
235	0,9369975328
234	0,964538455
233	0,9951733351
232	1,032210112
231	1,072258353
230	1,117445946
229	1,169546366
228	1,228425741
227	1,293366551
226	1,368579865
225	1,452954531
224	1,551790476
223	1,665942311
222	1,800055861
221	1,953694463
220	2,141247749
