x57 blank naoh repeat measurement,,
Wavelength (nm),Abs,
349,0.1812235713,
348,0.1661673933,
347,0.1663013101,
346,0.169855535,
345,0.1699468195,
344,0.1703890264,
343,0.1719881743,
342,0.172569409,
341,0.174594298,
340,0.1748363227,
339,0.1772630513,
338,0.1777192503,
337,0.1792759597,
336,0.1819984168,
335,0.1828148067,
334,0.1847907156,
333,0.187185362,
332,0.1888052225,
331,0.1891427189,
330,0.1917938143,
329,0.1937030852,
328,0.1963854134,
327,0.1983627528,
326,0.199765712,
325,0.2032198757,
324,0.2050530016,
323,0.2065724283,
322,0.2096667737,
321,0.2132167369,
320,0.2152894884,
319,0.2184113413,
318,0.222416833,
317,0.2256069332,
316,0.2288624346,
315,0.2330197692,
314,0.2373733968,
313,0.2435328513,
312,0.2472241074,
311,0.2514468431,
310,0.2571480572,
309,0.264077574,
308,0.2781358361,
307,0.2842309177,
306,0.291336894,
305,0.2999557257,
304,0.3073763251,
303,0.3165480196,
302,0.3248529732,
301,0.3344095051,
300,0.343298465,
299,0.3540964127,
298,0.3638211191,
297,0.3735302985,
296,0.3824777007,
295,0.3934694231,
294,0.4035574198,
293,0.4133350551,
292,0.4249243438,
291,0.4359511733,
290,0.4467630386,
289,0.4551967978,
288,0.4653163254,
287,0.4757442176,
286,0.4851228297,
285,0.4942158759,
284,0.5023028255,
283,0.5116067529,
282,0.5195522308,
281,0.527299583,
280,0.5345560312,
279,0.5410009623,
278,0.5478816032,
277,0.554353714,
276,0.5603520274,
275,0.5661512613,
274,0.571187675,
273,0.5762589574,
272,0.5813769698,
271,0.5860944986,
270,0.5905099511,
269,0.5955812335,
268,0.6013091207,
267,0.6057652831,
266,0.6119310856,
265,0.6192041636,
264,0.624545455,
263,0.6312435865,
262,0.6376879215,
261,0.645732224,
260,0.6527713537,
259,0.6614834666,
258,0.669164896,
257,0.6771463752,
256,0.6863930225,
255,0.695296526,
254,0.7054316401,
253,0.7153840065,
252,0.7254289985,
251,0.7366611958,
250,0.7473594546,
249,0.7579275966,
248,0.767822206,
247,0.7777776122,
246,0.7874971032,
245,0.7972866297,
244,0.8078730106,
243,0.8158274889,
242,0.8259772658,
241,0.8349836469,
240,0.8438410163,
239,0.8532292843,
238,0.861548841,
237,0.8700027466,
236,0.8786186576,
235,0.8880819082,
234,0.8989819288,
233,0.9096027017,
232,0.9231866598,
231,0.9372647405,
230,0.9557340145,
229,0.977889359,
228,1.003746986,
227,1.037416339,
226,1.078237414,
225,1.131219864,
224,1.197549343,
223,1.279556513,
222,1.379948974,
221,1.500569463,
220,1.644743085,

x57 blank naoh repeat measurement,
x57 blank naoh repeat measurement
Collection Time: 22/11/2024 9:02:02 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 164.00
<Current Wavelength> , 220.00

