x57 blank naoh 450uL,,
Wavelength (nm),Abs,
349,0.1100073531,
348,0.09555721283,
347,0.095275186,
346,0.09765865654,
345,0.09937990457,
344,0.09910321981,
343,0.09965116531,
342,0.103036575,
341,0.1024451554,
340,0.1035896987,
339,0.1063709334,
338,0.1071683913,
337,0.1083872244,
336,0.1093389392,
335,0.1121700555,
334,0.1126175746,
333,0.1152570099,
332,0.1170095578,
331,0.1178818122,
330,0.119888559,
329,0.1229604185,
328,0.1256859303,
327,0.1257210225,
326,0.1279249638,
325,0.1307615638,
324,0.1329687536,
323,0.135566026,
322,0.1379490644,
321,0.1408784688,
320,0.143836692,
319,0.1480120718,
318,0.1491603851,
317,0.1544565856,
316,0.1571768224,
315,0.1623459756,
314,0.165781945,
313,0.17107068,
312,0.1769965589,
311,0.1795190126,
310,0.185348019,
309,0.1927215904,
308,0.1999461204,
307,0.2062704414,
306,0.2130993456,
305,0.2217082828,
304,0.2296763957,
303,0.2381445765,
302,0.2470477223,
301,0.2563530207,
300,0.2653401792,
299,0.2755163908,
298,0.2857554853,
297,0.2947895229,
296,0.3051050007,
295,0.3141412735,
294,0.3244350851,
293,0.3348658979,
292,0.3452721834,
291,0.3557903767,
290,0.3668054342,
289,0.3748089075,
288,0.3852864504,
287,0.39503178,
286,0.4042788744,
285,0.4136629403,
284,0.4218654335,
283,0.4297929406,
282,0.4381746054,
281,0.4460854232,
280,0.4525507987,
279,0.4594319463,
278,0.465210855,
277,0.4717498124,
276,0.4779110551,
275,0.4831516147,
274,0.4878001213,
273,0.4928973317,
272,0.4985879064,
271,0.5029298663,
270,0.5086150765,
269,0.5136848092,
268,0.51858145,
267,0.5235823989,
266,0.5289196372,
265,0.5355435014,
264,0.5417832136,
263,0.5482440591,
262,0.5557307005,
261,0.5632842183,
260,0.5710884333,
259,0.579882741,
258,0.5879508257,
257,0.5975618958,
256,0.6058222055,
255,0.616286397,
254,0.627436161,
253,0.6380936503,
252,0.6499477029,
251,0.6618362069,
250,0.6736856699,
249,0.6852514148,
248,0.6963031292,
247,0.7069433928,
246,0.7178354859,
245,0.7286262512,
244,0.739436686,
243,0.7491897345,
242,0.7604861259,
241,0.7710186243,
240,0.7811133265,
239,0.7906278372,
238,0.8004848957,
237,0.8116537929,
236,0.8216487169,
235,0.833173275,
234,0.8462686539,
233,0.8604083061,
232,0.877146244,
231,0.8962116241,
230,0.9183939099,
229,0.9474129677,
228,0.9829217196,
227,1.026655912,
226,1.081854939,
225,1.152080774,
224,1.240344405,
223,1.350211143,
222,1.49120748,
221,1.662565827,
220,1.874104261,

x57 blank naoh 450uL,
x57 blank naoh 450uL
Collection Time: 22/11/2024 9:18:57 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

