x60 uridine,,
Wavelength (nm),Abs,
349,0.1091358066,
348,0.09395024925,
347,0.09378685802,
346,0.09685254097,
345,0.09771250188,
344,0.09680883586,
343,0.09921205044,
342,0.1004357785,
341,0.1004667655,
340,0.1014835611,
339,0.1041335613,
338,0.1040869132,
337,0.1067850664,
336,0.1068392247,
335,0.1091252267,
334,0.1096451133,
333,0.1122898534,
332,0.1133712009,
331,0.1149155572,
330,0.1166840568,
329,0.1186244041,
328,0.1205460206,
327,0.1215929687,
326,0.1244099513,
325,0.1267226934,
324,0.1285073608,
323,0.1306205094,
322,0.1345471293,
321,0.136599794,
320,0.139876157,
319,0.1423890144,
318,0.1450585872,
317,0.1492219865,
316,0.1520696878,
315,0.1566099524,
314,0.1602185965,
313,0.1655788273,
312,0.1706615984,
311,0.1748044938,
310,0.1802354455,
309,0.1870112419,
308,0.194536373,
307,0.2009956837,
306,0.2080411166,
305,0.2176144421,
304,0.2262877077,
303,0.2360979468,
302,0.2461982816,
301,0.2576872408,
300,0.2686127126,
299,0.2812305689,
298,0.2942491472,
297,0.3068186045,
296,0.3188430369,
295,0.3324482143,
294,0.3465895355,
293,0.3607867956,
292,0.3792487383,
291,0.3965426981,
290,0.4168617427,
289,0.4368831813,
288,0.461556673,
287,0.4894845188,
286,0.5198571086,
285,0.5560869575,
284,0.5964071155,
283,0.6408405304,
282,0.6902161241,
281,0.7445712686,
280,0.8004049063,
279,0.8592281938,
278,0.9169012904,
277,0.9793752432,
276,1.039230466,
275,1.098065376,
274,1.155443311,
273,1.209893227,
272,1.263288498,
271,1.315129399,
270,1.361655831,
269,1.403430104,
268,1.441084504,
267,1.4766047,
266,1.505162716,
265,1.529565454,
264,1.546451688,
263,1.560317159,
262,1.568746805,
261,1.572470784,
260,1.573924184,
259,1.569985271,
258,1.564655423,
257,1.555274606,
256,1.545061469,
255,1.531741261,
254,1.519025564,
253,1.507603884,
252,1.492864251,
251,1.480705142,
250,1.470096469,
249,1.45921731,
248,1.45265162,
247,1.446137786,
246,1.441573858,
245,1.441622972,
244,1.443266034,
243,1.448557019,
242,1.457669258,
241,1.469380856,
240,1.484533191,
239,1.502691746,
238,1.524996877,
237,1.551096916,
236,1.579970837,
235,1.611517429,
234,1.650412917,
233,1.691307545,
232,1.737698913,
231,1.788558006,
230,1.844476581,
229,1.903885245,
228,1.972313643,
227,2.046855688,
226,2.130263805,
225,2.224121094,
224,2.336453438,
223,2.464592457,
222,2.618792772,
221,2.800242662,
220,3.025222778,

x60 uridine,
x60 uridine
Collection Time: 22/11/2024 9:26:28 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

