x61 uracil,,
Wavelength (nm),Abs,
349,0.1051307246,
348,0.08830360323,
347,0.08933657408,
346,0.0927561149,
345,0.09284961224,
344,0.09414437413,
343,0.09444352239,
342,0.09618354589,
341,0.09583280236,
340,0.09764475375,
339,0.09994842857,
338,0.1003227904,
337,0.1031899229,
336,0.1035010889,
335,0.1049436256,
334,0.1061514989,
333,0.1074553952,
332,0.1105860993,
331,0.1110418811,
330,0.1130605787,
329,0.1145468727,
328,0.1170003042,
327,0.1174822748,
326,0.118639715,
325,0.1223657131,
324,0.1249923408,
323,0.1260395199,
322,0.1289954185,
321,0.1320829242,
320,0.1345877796,
319,0.1382814348,
318,0.1411671489,
317,0.1440606564,
316,0.1476705372,
315,0.1527743638,
314,0.1575386822,
313,0.1638991088,
312,0.169218868,
311,0.174917832,
310,0.1825987548,
309,0.1930182725,
308,0.2067860812,
307,0.2187688947,
306,0.2356571555,
305,0.2583381832,
304,0.2845593095,
303,0.3171032667,
302,0.3572624326,
301,0.402623266,
300,0.4547914565,
299,0.5084395409,
298,0.5667709708,
297,0.6221218109,
296,0.6748563647,
295,0.7258682847,
294,0.7754114866,
293,0.8248675466,
292,0.8746736646,
291,0.9232243896,
290,0.9684625864,
289,1.00383687,
288,1.037889719,
287,1.067436695,
286,1.09076333,
285,1.110832214,
284,1.126690626,
283,1.139634728,
282,1.145867229,
281,1.150322556,
280,1.151354551,
279,1.150283813,
278,1.147861123,
277,1.146187067,
276,1.143158078,
275,1.139409423,
274,1.135828137,
273,1.130928755,
272,1.126598239,
271,1.120606899,
270,1.115260959,
269,1.110358119,
268,1.104285002,
267,1.098622799,
266,1.092732668,
265,1.088822961,
264,1.083146453,
263,1.077744007,
262,1.071158051,
261,1.065318942,
260,1.059201002,
259,1.053913355,
258,1.047318459,
257,1.039711237,
256,1.033056736,
255,1.02703166,
254,1.019933105,
253,1.015856624,
252,1.009629607,
251,1.004696488,
250,1.000586748,
249,0.9974738359,
248,0.9923169017,
247,0.9898745418,
246,0.9876304269,
245,0.9865490198,
244,0.9878053665,
243,0.9910116792,
242,0.9960904121,
241,1.004864931,
240,1.014617801,
239,1.027731299,
238,1.045659423,
237,1.067953944,
236,1.095525026,
235,1.127432942,
234,1.164682269,
233,1.208189368,
232,1.25751853,
231,1.312233567,
230,1.373516083,
229,1.441055894,
228,1.519743085,
227,1.606729031,
226,1.704415917,
225,1.81701076,
224,1.947753906,
223,2.094385862,
222,2.268032551,
221,2.467707634,
220,2.705075026,

x61 uracil,
x61 uracil
Collection Time: 22/11/2024 9:28:37 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

