x90 t12,,
Wavelength (nm),Abs,
349,0.08858656138,
348,0.07303892076,
347,0.07185795903,
346,0.07425970584,
345,0.07424711436,
344,0.07392714918,
343,0.07481554151,
342,0.07585156709,
341,0.07554864883,
340,0.07595521212,
339,0.07760877162,
338,0.07721361518,
337,0.07885418832,
336,0.07868213952,
335,0.07928545773,
334,0.0788820982,
333,0.08109501004,
332,0.08198400587,
331,0.08103373647,
330,0.0829808861,
329,0.08396884799,
328,0.08526650071,
327,0.08429253101,
326,0.0856410563,
325,0.08677393943,
324,0.08757614344,
323,0.0880766809,
322,0.08931495249,
321,0.09076592326,
320,0.09075079858,
319,0.09317164123,
318,0.09393170476,
317,0.09615007788,
316,0.09584222734,
315,0.09861151874,
314,0.09917663038,
313,0.1024683937,
312,0.1044485942,
311,0.1048812717,
310,0.1079091951,
309,0.1127606481,
308,0.1167295426,
307,0.1216032431,
306,0.1285966039,
305,0.1390430778,
304,0.1504420191,
303,0.1657241136,
302,0.1851294339,
301,0.2085561901,
300,0.2337639183,
299,0.2635075152,
298,0.2921473682,
297,0.3211750686,
296,0.3482967317,
295,0.3749705255,
294,0.40082407,
293,0.426469475,
292,0.453382045,
291,0.4784852266,
290,0.5034037828,
289,0.523132205,
288,0.5421303511,
287,0.5600911975,
286,0.5753084421,
285,0.5903328061,
284,0.6035772562,
283,0.6159873605,
282,0.6264651418,
281,0.6373577714,
280,0.6462435126,
279,0.6567361355,
278,0.6656426787,
277,0.6763132811,
276,0.6865155101,
275,0.6958022714,
274,0.7060968876,
273,0.7161746621,
272,0.7246516943,
271,0.7333118916,
270,0.7432064414,
269,0.7510250807,
268,0.758990705,
267,0.7667382956,
266,0.7740598321,
265,0.7811774611,
264,0.7859241962,
263,0.790525198,
262,0.7960121632,
261,0.7984288335,
260,0.7995957732,
259,0.7998373508,
258,0.7989317775,
257,0.7968610525,
256,0.7956938744,
255,0.7932344079,
254,0.7913845778,
253,0.7894554138,
252,0.7868398428,
251,0.7834025025,
250,0.7794310451,
249,0.7753962874,
248,0.7700266242,
247,0.7659917474,
246,0.7623288035,
245,0.7592931986,
244,0.7583064437,
243,0.7572826743,
242,0.7586285472,
241,0.761425972,
240,0.765846312,
239,0.7724546194,
238,0.7820826173,
237,0.7943439484,
236,0.8108544946,
235,0.8311334848,
234,0.8551863432,
233,0.8843463063,
232,0.9189688563,
231,0.9568268657,
230,1.003204584,
229,1.05461812,
228,1.114608288,
227,1.183267951,
226,1.265468001,
225,1.357300639,
224,1.463835359,
223,1.589197159,
222,1.734928489,
221,1.903306127,
220,2.098904371,

x90 t12,
x90 t12
Collection Time: 17/02/2025 2:19:20 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

